name,team,position,age,games_played,games_started,passing_yards,passing_tds,interceptions,rushing_atts,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,fumbles,fumbles_lost,two_point_conversions,two_point_conversions_passing,fantasy_points_standard,fantasy_points_ppr,player_id
Christian McCaffrey*+,CAR,RB,23,16,16,0,0,0,287,1387,15,142,116,1005,4,1,0,1,,355,471.2,McCaCh01
Lamar Jackson*+,BAL,QB,22,15,15,3127,36,6,176,1206,7,0,0,0,0,9,2,,,416,415.7,JackLa00
Derrick Henry*,TEN,RB,25,15,15,0,0,0,303,1540,16,24,18,206,2,5,3,,,277,294.6,HenrDe00
Aaron Jones,GNB,RB,25,16,16,0,0,0,236,1084,16,68,49,474,3,3,2,,,266,314.8,JoneAa00
Ezekiel Elliott*,DAL,RB,24,16,16,0,0,0,301,1357,12,71,54,420,2,3,2,,,258,311.7,ElliEz00
Dalvin Cook*,MIN,RB,24,14,14,0,0,0,250,1135,13,63,53,519,0,4,2,,,239,292.4,CookDa01
Michael Thomas*+,NOR,WR,26,16,15,0,0,0,1,-9,0,185,149,1725,9,1,0,,,226,374.6,ThomMi05
Travis Kelce*,KAN,TE,30,16,16,0,0,0,1,4,1,136,97,1229,5,1,1,,,157,254.3,KelcTr00
Nick Chubb*,CLE,RB,24,16,16,0,0,0,298,1494,8,49,36,278,0,3,3,,,219,255.2,ChubNi00
Mark Ingram*,BAL,RB,30,15,15,0,0,0,202,1018,10,29,26,247,5,2,2,2,,217,242.5,IngrMa01
Austin Ekeler,LAC,RB,24,16,8,0,0,0,132,557,3,108,92,993,8,3,2,,,217,309.0,EkelAu00
Dak Prescott,DAL,QB,26,16,16,4902,30,11,52,277,3,0,0,0,0,6,2,,1,338,337.8,PresDa01
Mark Andrews*,BAL,TE,24,15,4,0,0,0,0,0,0,98,64,852,10,2,1,,,143,207.2,AndrMa00
Russell Wilson*,SEA,QB,31,16,16,4110,31,5,75,342,3,0,0,0,0,8,2,,1,329,328.6,WilsRu00
Chris Godwin*,TAM,WR,23,14,14,0,0,0,1,8,0,121,86,1333,9,0,0,1,,190,276.1,GodwCh00
George Kittle*+,SFO,TE,26,14,14,0,0,0,5,22,0,107,85,1053,5,1,0,,,138,222.5,KittGe00
Deshaun Watson*,HOU,QB,24,15,15,3852,26,12,82,413,7,1,1,6,1,10,3,,1,320,321.0,WatsDe00
Chris Carson,SEA,RB,25,15,15,0,0,0,278,1230,7,47,37,266,2,7,4,,,196,232.6,CarsCh00
Kenny Golladay*,DET,WR,26,16,16,0,0,0,0,0,0,116,65,1190,11,1,1,,,183,248.0,GollKe00
Darren Waller,OAK,TE,27,16,16,0,0,0,2,5,0,117,90,1145,3,1,1,,,131,221.0,WallDa01
Saquon Barkley,NYG,RB,22,13,13,0,0,0,217,1003,6,73,52,438,2,1,0,,,192,244.1,BarkSa00
Zach Ertz*,PHI,TE,29,15,15,0,0,0,0,0,0,135,88,916,6,1,1,1,,128,215.6,ErtzZa00
Joe Mixon,CIN,RB,23,16,15,0,0,0,278,1137,5,45,35,287,3,0,0,,,190,225.4,MixoJo00
Todd Gurley,LAR,RB,25,15,15,0,0,0,223,857,12,49,31,207,2,3,2,1,,188,219.4,GurlTo01
Jared Cook*,NOR,TE,32,14,7,0,0,0,0,0,0,65,43,705,9,0,0,,,125,167.5,CookJa02
Cooper Kupp,LAR,WR,26,16,14,0,0,0,2,4,0,134,94,1161,10,3,0,,,177,270.5,KuppCo00
Julio Jones*,ATL,WR,30,15,15,0,0,0,2,-3,0,157,99,1394,6,1,0,,,175,274.1,JoneJu02
DeVante Parker,MIA,WR,26,16,14,0,0,0,0,0,0,128,72,1202,9,0,0,,,174,246.2,ParkDe01
Leonard Fournette,JAX,RB,24,15,15,0,0,0,265,1152,3,100,76,522,0,1,1,,,183,259.4,FourLe00
Jameis Winston,TAM,QB,25,16,16,5109,33,30,59,250,1,0,0,0,0,12,5,2,2,305,305.4,WinsJa00
Austin Hooper*,ATL,TE,25,13,10,0,0,0,0,0,0,97,75,787,6,0,0,1,,117,191.7,HoopAu00
Amari Cooper*,DAL,WR,25,16,16,0,0,0,1,6,0,119,79,1189,8,0,0,,,168,246.5,CoopAm00
Mike Evans*,TAM,WR,26,13,13,0,0,0,0,0,0,118,67,1157,8,0,0,1,,166,232.7,EvanMi00
A.J. Brown,TEN,WR,22,16,11,0,0,0,3,60,1,84,52,1051,8,1,0,,,165,217.1,BrowAJ00
DeAndre Hopkins*+,HOU,WR,27,15,15,6,1,1,2,18,0,150,104,1165,7,0,0,1,,165,268.5,HopkDe00
Josh Jacobs,OAK,RB,21,13,13,0,0,0,242,1150,7,27,20,166,0,1,1,,,172,191.6,JacoJo01
Miles Sanders,PHI,RB,22,16,11,0,0,0,179,818,3,63,50,509,3,2,1,1,,169,218.7,SandMi01
Keenan Allen*,LAC,WR,27,16,16,0,0,0,3,16,0,149,104,1199,6,0,0,,,158,261.5,AlleKe00
Allen Robinson,CHI,WR,26,16,15,0,0,0,1,2,0,154,98,1147,7,0,0,,,157,254.9,RobiAl02
Alvin Kamara*,NOR,RB,24,14,9,13,0,0,171,797,5,97,81,533,1,4,1,,,168,248.5,KamaAl00
Marlon Mack,IND,RB,23,14,12,0,0,0,247,1091,8,17,14,82,0,0,0,1,,167,181.3,MackMa00
Julian Edelman,NWE,WR,33,16,13,47,1,0,8,27,0,153,100,1117,6,3,1,1,,156,256.3,EdelJu00
Josh Allen,BUF,QB,23,16,16,3089,20,9,109,510,9,0,0,0,0,14,4,1,2,289,288.6,AlleJo02
Jarvis Landry*,CLE,WR,27,16,16,0,0,0,1,10,0,138,83,1174,6,0,0,,,154,237.4,LandJa00
Kenyan Drake,2TM,RB,25,14,10,0,0,0,170,817,8,68,50,345,0,2,1,1,,164,214.2,DrakKe00
Tyler Lockett,SEA,WR,27,16,16,0,0,0,4,-5,0,110,82,1057,8,1,0,,,153,235.2,LockTy00
DJ Chark*,JAX,WR,23,15,14,0,0,0,2,20,0,118,73,1008,8,0,0,1,,153,225.8,CharDJ00
Patrick Mahomes*,KAN,QB,24,14,14,4031,26,5,43,218,2,0,0,0,0,3,2,,1,287,287.0,MahoPa00
Kyler Murray,ARI,QB,22,16,16,3722,20,12,93,544,4,0,0,0,0,5,2,,3,285,285.3,MurrKy00
Phillip Lindsay,DEN,RB,25,16,16,0,0,0,224,1011,7,48,35,196,0,0,0,,,163,197.7,LindPh00
Courtland Sutton*,DEN,WR,24,16,14,38,0,0,3,17,0,124,72,1112,6,2,0,,,150,222.4,SuttCo00
Stefon Diggs,MIN,WR,26,15,15,0,0,0,5,61,0,94,63,1130,6,4,3,,,149,212.1,DiggSt00
John Brown,BUF,WR,29,15,15,28,1,0,2,7,0,115,72,1060,6,0,0,,,148,219.8,BrowJo02
Michael Gallup,DAL,WR,23,14,12,0,0,0,0,0,0,113,66,1107,6,0,0,,,147,212.7,GallMi00
Hunter Henry,LAC,TE,25,12,12,0,0,0,0,0,0,76,55,652,5,1,1,1,,95,150.2,HenrHu00
Aaron Rodgers*,GNB,QB,36,16,16,4002,26,4,46,183,1,0,0,0,0,4,4,1,2,278,278.4,RodgAa00
Tyler Higbee,LAR,TE,26,15,15,0,0,0,0,0,0,89,69,734,3,0,0,,,91,160.4,HigbTy00
D.J. Moore,CAR,WR,22,15,15,0,0,0,6,40,0,135,87,1175,4,2,1,,,144,230.5,MoorD.00
Robert Woods,LAR,WR,27,15,15,0,0,0,17,115,1,139,90,1134,2,0,0,,,143,232.9,WoodRo02
Carson Wentz,PHI,QB,27,16,16,4039,27,7,62,243,1,0,0,0,0,16,7,,2,276,275.9,WentCa00
Raheem Mostert,SFO,RB,27,16,0,0,0,0,137,772,8,22,14,180,2,2,2,,,151,165.2,MostRa00
Dallas Goedert,PHI,TE,24,15,9,0,0,0,0,0,0,87,58,607,5,2,2,,,87,144.7,GoedDa00
Le'Veon Bell,NYJ,RB,27,15,15,0,0,0,245,789,3,78,66,461,1,1,1,1,,149,215.0,BellLe00
Mike Gesicki,MIA,TE,24,16,5,0,0,0,0,0,0,89,51,570,5,1,1,,,85,136.0,GesiMi00
Taysom Hill,NOR,TE,29,16,5,55,0,0,27,156,1,22,19,234,6,0,0,,,83,102.2,HillTa00
David Montgomery,CHI,RB,22,16,8,0,0,0,242,889,6,35,25,185,1,2,2,,,145,170.4,MontDa01
Calvin Ridley,ATL,WR,25,13,10,0,0,0,2,34,0,93,63,866,7,0,0,1,,134,197.0,RidlCa00
Terry McLaurin,WAS,WR,24,14,14,0,0,0,0,0,0,93,58,919,7,0,0,,,134,191.9,McLaTe00
Matt Ryan,ATL,QB,34,15,15,4466,26,14,34,147,1,0,0,0,0,9,5,,1,267,267.3,RyanMa00
Tyler Boyd,CIN,WR,25,16,15,0,0,0,4,23,0,148,90,1046,5,2,2,,,133,222.9,BoydTy00
Carlos Hyde,HOU,RB,29,16,14,0,0,0,245,1070,6,16,10,42,0,4,2,,,143,153.2,HydeCa00
Marvin Jones,DET,WR,29,13,11,0,0,0,2,0,0,91,62,779,9,0,0,,,132,193.9,JoneMa02
Deebo Samuel,SFO,WR,23,15,11,0,0,0,14,159,3,81,57,802,3,2,1,1,,132,189.1,SamuDe00
Tyreek Hill*,KAN,WR,25,12,12,0,0,0,8,23,0,89,58,860,7,0,0,,,130,188.3,HillTy00
Davante Adams*,GNB,WR,27,12,12,0,0,0,0,0,0,127,83,997,5,2,1,1,,130,212.7,AdamDa01
Tom Brady,NWE,QB,42,16,16,4057,24,8,26,34,3,0,0,0,0,4,1,,1,264,263.7,BradTo00
Jared Goff,LAR,QB,25,16,16,4638,22,16,33,40,2,0,0,0,0,10,5,,,248,247.5,GoffJa00
Jimmy Garoppolo,SFO,QB,28,16,16,3978,27,13,46,62,1,0,0,0,0,10,5,,2,247,247.3,GaroJi00
Derek Carr,OAK,QB,28,16,16,4054,21,8,27,82,2,0,0,0,0,7,3,,,244,244.4,CarrDe02
Kirk Cousins*,MIN,QB,31,15,15,3603,26,6,31,63,1,1,0,0,0,10,3,,1,244,244.4,CousKi00
Ryan Fitzpatrick,MIA,QB,37,15,13,3529,20,13,54,243,4,0,0,0,0,9,2,,1,241,241.5,FitzRy00
Philip Rivers,LAC,QB,38,16,16,4615,23,20,12,29,0,0,0,0,0,8,3,,1,236,235.5,RivePh00
Baker Mayfield,CLE,QB,24,16,16,3827,22,21,28,141,3,0,0,0,0,6,2,,1,229,229.2,MayfBa00
Gardner Minshew II,JAX,QB,23,14,12,3271,21,6,67,344,0,0,0,0,0,12,7,,3,229,229.2,MinsGa00
