name,team,position,age,games_played,games_started,passing_yards,passing_tds,interceptions,rushing_atts,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,fumbles,fumbles_lost,two_point_conversions,two_point_conversions_passing,fantasy_points_standard,fantasy_points_ppr,player_id
Drew Brees*,NOR,QB,40,11,11,2979,27,4,9,-4,1,0,0,0,0,0,0,,,225,224.8,BreeDr00
Ryan Tannehill*,TEN,QB,31,12,10,2742,22,6,43,185,4,0,0,0,0,5,3,1,,224,224.2,TannRy00
Jacoby Brissett,IND,QB,27,15,15,2942,18,6,56,228,4,1,1,2,0,7,5,,1,217,217.7,BrisJa00
Daniel Jones,NYG,QB,22,13,12,3027,24,12,45,279,2,0,0,0,0,19,11,,2,215,215.0,JoneDa05
Andy Dalton,CIN,QB,32,13,13,3494,16,14,32,73,4,1,1,-4,0,8,4,1,1,203,203.7,DaltAn00
Mitchell Trubisky,CHI,QB,25,15,15,3138,17,10,48,193,2,0,0,0,0,5,2,,1,203,202.8,TrubMi00
Sam Darnold,NYJ,QB,22,13,13,3024,19,13,33,62,2,0,0,0,0,11,3,,3,189,189.2,DarnSa00
Kyle Allen,CAR,QB,23,13,12,3322,17,16,32,106,2,0,0,0,0,13,7,,,177,177.5,AlleKy00
Matthew Stafford,DET,QB,31,8,8,2499,19,5,20,66,0,0,0,0,0,5,3,,,167,166.6,StafMa00
Sony Michel,NWE,RB,24,16,14,0,0,0,247,912,7,20,12,94,0,2,1,,,141,152.6,MichSo00
Devonta Freeman,ATL,RB,27,14,14,0,0,0,184,656,2,70,59,410,4,3,2,,,139,197.6,FreeDe00
Melvin Gordon,LAC,RB,26,12,11,0,0,0,162,612,8,55,42,296,1,4,3,,,139,180.8,GordMe00
Ronald Jones II,TAM,RB,22,16,9,0,0,0,172,724,6,40,31,309,0,3,2,,,135,166.3,JoneRo01
Adrian Peterson,WAS,RB,34,15,15,0,0,0,211,898,5,23,17,142,0,3,2,,,130,147.0,PeteAd01
D.K. Metcalf,SEA,WR,22,16,15,0,0,0,2,11,0,100,58,900,7,3,3,1,,129,187.1,MetcDK00
James White,NWE,RB,27,15,1,35,0,0,67,263,1,95,72,645,5,1,1,1,,128,200.2,WhitJa02
Odell Beckham Jr.,CLE,WR,27,16,15,20,0,0,3,10,0,133,74,1035,4,1,1,,,127,201.3,BeckOd00
Emmanuel Sanders,2TM,WR,32,17,16,35,1,0,0,0,0,97,66,869,5,0,0,1,,124,190.3,SandEm00
Latavius Murray,NOR,RB,29,16,8,0,0,0,146,637,5,43,34,235,1,0,0,,,123,157.2,MurrLa00
Darius Slayton,NYG,WR,22,14,9,0,0,0,0,0,0,84,48,740,8,0,0,,,122,170.0,SlayDa01
Jamison Crowder,NYJ,WR,26,16,12,0,0,0,1,4,0,122,78,833,6,0,0,,,120,197.7,CrowJa00
Devin Singletary,BUF,RB,22,12,8,0,0,0,151,775,2,41,29,194,2,4,1,,,119,147.9,SingDe00
Cole Beasley,BUF,WR,30,15,10,0,0,0,0,0,0,106,67,778,6,0,0,2,,118,184.8,BeasCo00
Curtis Samuel,CAR,WR,23,16,15,0,0,0,19,130,1,105,54,627,6,0,0,,,118,171.7,SamuCu00
Tevin Coleman,SFO,RB,26,14,11,0,0,0,137,544,6,30,21,180,1,0,0,,,114,135.4,ColeTe01
James Conner,PIT,RB,24,10,10,0,0,0,116,464,4,38,34,251,3,1,1,,,112,145.5,ConnJa00
Mike Williams,LAC,WR,25,15,15,0,0,0,1,2,0,90,49,1001,2,0,0,,,112,161.3,WillMi07
Damien Williams,KAN,RB,27,11,6,0,0,0,111,498,5,37,30,213,2,1,1,,,111,141.1,WillDa05
Robbie Chosen,NYJ,WR,26,16,15,0,0,0,1,4,0,96,52,779,5,1,0,1,,110,162.3,AndeRo04
Chris Conley,JAX,WR,27,16,14,0,0,0,0,0,0,90,47,775,5,0,0,1,,110,156.5,ConlCh00
Duke Johnson,HOU,RB,26,16,2,0,0,0,83,410,2,62,44,410,3,1,1,,,110,154.0,JohnDu00
Mason Rudolph,PIT,QB,24,10,8,1765,13,9,21,42,0,0,0,0,0,4,0,,,109,108.8,RudoMa00
Jamaal Williams,GNB,RB,24,14,2,0,0,0,107,460,1,45,39,253,5,0,0,,,107,146.3,WillJa06
David Johnson,ARI,RB,28,13,9,0,0,0,94,345,2,47,36,370,4,1,1,,,106,141.5,JohnDa08
Diontae Johnson,PIT,WR,23,16,12,0,0,0,4,41,0,92,59,680,5,5,2,,,104,163.1,JohnDi01
Case Keenum,WAS,QB,31,10,8,1707,11,5,9,12,1,0,0,0,0,6,3,,,103,103.5,KeenCa00
Golden Tate,NYG,WR,31,11,10,0,0,0,1,16,0,85,49,676,6,1,1,,,103,152.2,TateGo00
Larry Fitzgerald,ARI,WR,36,16,16,0,0,0,0,0,0,109,75,804,4,1,1,,,102,177.4,FitzLa00
Breshad Perriman,TAM,WR,26,14,4,0,0,0,2,16,0,69,36,645,6,0,0,,,102,138.1,PerrBr02
Peyton Barber,TAM,RB,25,16,7,0,0,0,154,470,6,24,16,115,1,1,1,1,,101,116.5,BarbPe01
Jordan Howard,PHI,RB,25,10,4,0,0,0,119,525,6,14,10,69,1,0,0,,,101,111.4,HowaJo00
Tyrell Williams,OAK,WR,27,14,12,0,0,0,0,0,0,64,42,651,6,0,0,,,101,143.1,WillTy00
Marquise Brown,BAL,WR,22,14,11,0,0,0,0,0,0,71,46,584,7,0,0,,,100,146.4,BrowMa04
Randall Cobb,DAL,WR,29,15,6,0,0,0,3,11,0,83,55,828,3,2,1,,,100,154.9,CobbRa00
Christian Kirk,ARI,WR,23,13,13,0,0,0,10,93,0,108,68,709,3,0,0,1,,100,168.2,KirkCh01
Royce Freeman,DEN,RB,23,16,0,0,0,0,132,496,3,50,43,256,1,0,0,,,99,142.2,FreeRo00
Mecole Hardman*,KAN,WR,21,16,5,0,0,0,4,17,0,41,26,538,6,2,2,,,94,119.5,HardMe00
Zach Pascal,IND,WR,25,16,13,0,0,0,2,16,0,72,41,607,5,0,0,1,,94,135.3,PascZa00
LeSean McCoy,KAN,RB,31,13,9,0,0,0,101,465,4,34,28,181,1,3,2,,,91,118.6,McCoLe01
Dede Westbrook,JAX,WR,26,15,11,0,0,0,5,27,0,101,66,660,3,1,0,2,,91,156.7,WestDe00
Teddy Bridgewater,NOR,QB,27,9,5,1384,9,2,28,31,0,0,0,0,0,1,0,,,90,90.5,BridTe00
James Washington,PIT,WR,23,15,10,0,0,0,0,0,0,80,44,735,3,1,1,,,90,133.5,WashJa00
Sammy Watkins,KAN,WR,26,14,13,0,0,0,2,12,0,90,52,673,3,2,1,1,,87,138.5,WatkSa00
Gus Edwards,BAL,RB,24,16,1,0,0,0,133,711,2,7,7,45,0,2,1,,,86,92.6,EdwaGu00
DeAndre Washington,OAK,RB,26,16,3,0,0,0,108,387,3,41,36,292,0,0,0,,,86,121.9,WashDe00
Tarik Cohen,CHI,RB,24,16,11,0,0,0,64,213,0,104,79,456,3,3,0,,,85,163.9,CoheTa00
Joe Flacco,DEN,QB,34,8,8,1822,6,5,12,20,0,0,0,0,0,8,3,,1,85,84.9,FlacJo00
Will Fuller,HOU,WR,25,11,11,0,0,0,0,0,0,71,49,670,3,1,0,,,85,134.0,FullWi01
Marcus Mariota,TEN,QB,26,7,6,1203,7,2,24,129,0,0,0,0,0,3,0,,,85,85.0,MariMa01
Hunter Renfrow,OAK,WR,24,13,4,0,0,0,0,0,0,71,49,605,4,1,0,,,85,133.5,RenfHu00
Sterling Shepard,NYG,WR,26,10,10,0,0,0,6,72,0,83,57,576,3,0,0,1,,85,141.8,ShepSt00
Matt Breida,SFO,RB,24,13,5,0,0,0,123,623,1,22,19,120,1,2,1,,,84,103.3,BreiMa00
Adam Thielen,MIN,WR,29,10,10,0,0,0,4,6,1,48,30,418,6,0,0,,,84,114.4,ThieAd00
Frank Gore,BUF,RB,36,16,8,0,0,0,166,599,2,16,13,100,0,0,0,,,82,94.9,GoreFr00
T.Y. Hilton,IND,WR,30,10,10,0,0,0,0,0,0,68,45,501,5,0,0,,,80,125.1,HiltT.00
Kenny Stills,HOU,WR,27,13,5,0,0,0,0,0,0,55,40,561,4,0,0,,,80,120.1,StilKe00
Danny Amendola,DET,WR,34,15,10,19,1,0,0,0,0,97,62,678,1,0,0,,,79,140.6,AmenDa00
Alshon Jeffery,PHI,WR,29,10,10,0,0,0,1,2,1,73,43,490,4,0,0,,,79,122.2,JeffAl00
Dwayne Haskins,WAS,QB,22,9,7,1365,7,7,20,101,0,0,0,0,0,6,2,,1,77,76.7,HaskDw00
Jason Witten,DAL,TE,37,16,16,0,0,0,0,0,0,83,63,529,4,1,1,1,,77,139.9,WittJa00
Brandin Cooks,LAR,WR,26,14,14,0,0,0,6,52,0,72,42,583,2,0,0,,,76,117.5,CookBr00
Darren Fells,HOU,TE,33,16,14,0,0,0,0,0,0,48,34,341,7,0,0,,,76,110.1,FellDa01
Anthony Miller,CHI,WR,25,16,7,0,0,0,1,-1,0,85,52,656,2,1,1,,,76,127.5,MillAn02
Steven Sims,WAS,WR,22,16,2,0,0,0,9,85,1,56,34,310,4,1,0,,,76,109.5,SimsSt00
Kerryon Johnson,DET,RB,22,8,7,0,0,0,113,403,3,15,10,127,1,1,1,,,75,85.0,JohnKe06
Kyle Rudolph,MIN,TE,30,16,16,0,0,0,0,0,0,48,39,367,6,0,0,1,,75,113.7,RudoKy00
Rex Burkhead,NWE,RB,29,13,1,0,0,0,65,302,3,38,27,279,0,1,1,,,74,101.1,BurkRe00
Nyheim Hines,IND,RB,23,16,2,0,0,0,52,199,2,58,44,320,0,1,1,,,74,117.9,HineNy00
Tony Pollard,DAL,RB,22,15,0,0,0,0,86,455,2,20,15,107,1,1,1,1,,74,89.2,PollTo00
Boston Scott,PHI,RB,24,11,2,0,0,0,61,245,5,26,24,204,0,4,1,,,73,96.9,ScotBo02
Corey Davis,TEN,WR,24,15,11,0,0,0,0,0,0,69,43,601,2,1,0,,,72,115.1,DaviCo03
Phillip Dorsett,NWE,WR,26,14,4,0,0,0,3,21,0,54,29,397,5,0,0,,,72,100.8,DorsPh00
Greg Olsen,CAR,TE,34,14,14,0,0,0,0,0,0,82,52,597,2,0,0,,,72,123.7,OlseGr00
Chase Edmonds,ARI,RB,23,13,2,0,0,0,60,303,4,21,12,105,1,0,0,,,71,82.8,EdmoCh00
Noah Fant,DEN,TE,22,16,11,0,0,0,3,-12,0,66,40,562,3,1,1,,,71,111.0,FantNo00
JuJu Smith-Schuster,PIT,WR,23,12,12,0,0,0,0,0,0,70,42,552,3,1,1,,,71,113.2,SmitJu00
Jonnu Smith,TEN,TE,24,16,14,0,0,0,4,78,0,44,35,439,3,0,0,,,70,104.7,SmitJo01
Jack Doyle*,IND,TE,29,16,16,0,0,0,0,0,0,72,43,448,4,1,0,,,69,111.8,DoylJa00
Demarcus Robinson,KAN,WR,25,16,10,0,0,0,0,0,0,55,32,449,4,0,0,,,69,100.9,RobiDe01
Kendrick Bourne,SFO,WR,24,16,0,0,0,0,0,0,0,44,30,358,5,0,0,1,,68,97.8,BourKe00
Allen Lazard,GNB,WR,24,16,3,0,0,0,1,21,0,52,35,477,3,0,0,,,68,102.8,LazaAl00
Drew Lock,DEN,QB,23,5,5,1020,7,3,18,72,0,0,0,0,0,3,1,,,68,68.0,LockDr00
Rashaad Penny,SEA,RB,23,10,0,0,0,0,65,370,3,11,8,83,1,1,1,,,67,75.3,PennRa00
John Ross,CIN,WR,24,8,8,0,0,0,3,4,0,56,28,506,3,1,1,,,67,95.0,RossJo00
Evan Engram,NYG,TE,25,8,6,0,0,0,3,7,0,68,44,467,3,0,0,,,65,109.4,EngrEv00
Mohamed Sanu,2TM,WR,30,15,12,0,0,0,3,11,0,89,59,520,2,0,0,,,65,124.1,SanuMo00
Tyler Eifert,CIN,TE,29,16,4,0,0,0,0,0,0,63,43,436,3,0,0,1,,64,106.6,EifeTy00
Ryan Griffin,NYJ,TE,29,13,13,0,0,0,0,0,0,41,34,320,5,0,0,1,,64,98.0,GrifRy00
Kareem Hunt,CLE,RB,24,8,3,0,0,0,43,179,2,44,37,285,1,1,0,,,64,101.4,HuntKa00
Willie Snead,BAL,WR,27,16,11,0,0,0,2,2,0,46,31,339,5,0,0,,,64,95.1,SneaWi00
Jimmy Graham,GNB,TE,33,16,10,0,0,0,0,0,0,60,38,447,3,1,0,,,63,100.7,GrahJi00
Auden Tate,CIN,WR,22,12,10,0,0,0,0,0,0,80,40,575,1,1,1,,,62,101.5,TateAu00
Taylor Gabriel,CHI,WR,28,9,7,0,0,0,3,20,0,48,29,353,4,0,0,,,61,90.3,GabrTa00
Preston Williams,MIA,WR,22,8,7,0,0,0,0,0,0,60,32,428,3,2,1,,,59,90.8,WillPr01
Alexander Mattison,MIN,RB,21,13,0,0,0,0,100,462,1,12,10,82,0,1,1,,,58,68.4,MattAl01
Marquez Valdes-Scantling,GNB,WR,25,16,10,0,0,0,2,9,0,56,26,452,2,0,0,,,58,84.1,ValdMa00
Malcolm Brown,LAR,RB,26,14,1,0,0,0,69,255,5,6,2,16,0,0,0,,,57,59.1,BrowMa03
Jeff Driskel,DET,QB,26,3,3,685,4,4,22,151,1,1,1,6,0,1,0,,,57,58.1,DrisJe00
Brian Hill,ATL,RB,24,12,2,0,0,0,78,323,2,14,10,69,1,0,0,,,57,67.2,HillBr02
Jaylen Samuels,PIT,RB,23,14,4,35,0,1,66,175,1,57,47,305,1,1,1,,,57,104.4,SamuJa00
Tajae Sharpe,TEN,WR,25,15,6,0,0,0,0,0,0,35,25,329,4,0,0,,,57,81.9,SharTa00
Eric Ebron,IND,TE,26,11,2,0,0,0,0,0,0,52,31,375,3,0,0,,,56,86.5,EbroEr00
Ted Ginn Jr.,NOR,WR,34,16,9,0,0,0,3,18,0,56,30,421,2,0,0,,,56,85.9,GinnTe00
Nelson Agholor,PHI,WR,26,11,10,0,0,0,2,7,0,69,39,363,3,2,1,1,,55,94.0,AghoNe00
Cameron Brate,TAM,TE,28,16,6,0,0,0,0,0,0,55,36,311,4,0,0,,,55,91.1,BratCa00
Keelan Cole,JAX,WR,26,16,1,0,0,0,1,6,0,35,24,361,3,0,0,,,55,78.7,ColeKe00
Blake Jarwin,DAL,TE,25,16,7,0,0,0,0,0,0,41,31,365,3,1,0,,,55,85.5,JarwBl00
Benny Snell Jr.,PIT,RB,21,13,2,0,0,0,108,426,2,4,3,23,0,1,1,,,55,57.9,SnelBe00
Jordan Akins,HOU,TE,27,16,9,0,0,0,0,0,0,55,36,418,2,0,0,,,54,89.8,AkinJo00
David Blough,DET,QB,24,5,5,984,4,6,8,31,0,1,1,19,1,1,0,,,54,55.4,BlouDa00
Eli Manning,NYG,QB,38,4,4,1042,6,5,4,7,0,0,0,0,0,3,1,,,54,54.4,MannEl00
Alex Erickson,CIN,WR,27,16,6,26,0,0,5,33,0,78,43,529,0,4,2,,,53,96.2,EricAl01
Gerald Everett,LAR,TE,25,13,2,0,0,0,1,0,0,60,37,408,2,0,0,,,53,89.8,EverGe00
Jacob Hollister,SEA,TE,26,11,3,0,0,0,0,0,0,59,41,349,3,0,0,,,53,93.9,HollJa03
Tre'Quan Smith,NOR,WR,23,11,6,0,0,0,0,0,0,25,18,234,5,0,0,,,53,71.4,SmitTr03
Darrel Williams,KAN,RB,24,12,0,0,0,0,41,141,3,19,15,167,1,1,1,,,53,67.8,WillDa10
Allen Hurns,MIA,WR,28,14,7,0,0,0,0,0,0,47,32,416,2,1,1,,,52,83.6,HurnAl01
Dawson Knox,BUF,TE,23,15,11,0,0,0,1,9,0,50,28,388,2,0,0,,,52,79.7,KnoxDa00
Chris Thompson,WAS,RB,29,11,0,0,0,0,37,138,0,58,42,378,0,1,0,,,52,93.6,ThomCh03
Will Dissly,SEA,TE,23,6,6,0,0,0,1,7,0,27,23,262,4,1,0,,,51,73.9,DissWi00
Devlin Hodges,PIT,QB,23,8,6,1063,5,8,21,68,0,0,0,0,0,5,1,,,51,51.3,HodgDe00
Russell Gage,ATL,WR,23,16,4,0,0,0,4,12,0,74,49,446,1,1,1,,,50,98.8,GageRu00
Derrius Guice,WAS,RB,22,5,1,0,0,0,42,245,2,9,7,79,1,0,0,,,50,57.4,GuicDe00
O.J. Howard,TAM,TE,25,14,14,0,0,0,0,0,0,53,34,459,1,1,1,,,50,83.9,HowaO.00
Adam Humphries,TEN,WR,26,12,3,0,0,0,1,1,0,47,37,374,2,1,0,,,50,86.5,HumpAd00
J.D. McKissic,DET,WR,26,16,3,0,0,0,38,205,0,42,34,233,1,0,0,,,50,83.8,McKiJ.00
T.J. Hockenson,DET,TE,22,12,7,0,0,0,0,0,0,59,32,367,2,0,0,,,49,80.7,HockTJ00
Demaryius Thomas,NYJ,WR,32,11,10,0,0,0,0,0,0,58,36,433,1,0,0,,,49,85.3,ThomDe03
Olabisi Johnson,MIN,WR,22,16,6,0,0,0,1,6,0,45,31,294,3,0,0,,,48,79.0,JohnOl00
Mike Boone,MIN,RB,24,16,2,0,0,0,49,273,3,4,3,17,0,0,0,,,47,50.0,BoonMi00
Josh Gordon,2TM,WR,28,11,7,0,0,1,1,1,0,47,27,426,1,0,0,,,47,73.7,GordJo02
