name,team,position,age,games_played,games_started,passing_yards,passing_tds,interceptions,rushing_atts,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,fumbles,fumbles_lost,two_point_conversions,two_point_conversions_passing,fantasy_points_standard,fantasy_points_ppr,player_id
Patrick Mahomes*,KAN,QB,28,16,16,4183,27,14,75,389,0,0,0,0,0,5,3,,,280,280.2,MahoPa00
Jakobi Meyers,LVR,WR,27,16,16,12,1,0,4,24,2,106,71,807,8,0,0,,,148,218.6,MeyeJa01
James Conner,ARI,RB,28,13,13,0,0,0,208,1040,7,33,27,165,2,0,0,,,175,201.5,ConnJa00
Gus Edwards,BAL,RB,28,17,9,0,0,0,198,810,13,13,12,180,0,3,2,1,,175,187.0,EdwaGu00
DeVonta Smith,PHI,WR,25,16,16,0,0,0,0,0,0,112,81,1066,7,1,1,,,147,227.6,SmitDe07
George Pickens,PIT,WR,22,17,16,0,0,0,3,18,0,106,63,1140,5,3,0,,,146,208.8,PickGe00
Trey McBride,ARI,TE,24,17,12,0,0,0,0,0,0,106,81,825,3,1,0,,,101,181.5,McBrTr01
Chris Olave,NOR,WR,23,16,11,0,0,0,0,0,0,138,87,1123,5,0,0,1,,144,231.3,OlavCh00
C.J. Stroud*,HOU,QB,22,15,15,4108,23,5,39,167,3,1,1,0,0,8,4,1,,275,276.0,StroCJ00
Kenneth Walker III,SEA,RB,23,15,15,0,0,0,219,905,8,37,29,259,1,1,0,,,170,199.4,WalkKe00
Baker Mayfield*,TAM,QB,28,17,17,4044,28,10,62,163,1,0,0,0,0,8,3,,2,274,274.1,MayfBa00
Isiah Pacheco,KAN,RB,24,14,13,0,0,0,205,935,7,49,44,244,2,1,1,,,170,213.9,PachIs00
Michael Pittman Jr.,IND,WR,26,16,15,0,0,0,0,0,0,156,109,1152,4,2,1,2,,141,250.2,PittMi01
Tony Pollard,DAL,RB,26,17,17,0,0,0,252,1005,6,67,55,311,0,3,1,1,,168,222.6,PollTo00
Jerome Ford,CLE,RB,24,17,12,0,0,0,204,813,4,63,44,319,5,1,1,1,,167,211.2,FordJe00
Najee Harris,PIT,RB,25,17,17,0,0,0,255,1035,8,38,29,170,0,2,1,,,167,195.5,HarrNa00
Tua Tagovailoa*,MIA,QB,25,17,17,4624,29,14,35,74,0,0,0,0,0,13,5,,,270,270.4,TagoTu00
Dalton Schultz,HOU,TE,27,15,8,0,0,0,0,0,0,88,59,635,5,1,1,,,92,150.5,SchuDa00
Mark Andrews,BAL,TE,28,10,9,0,0,0,1,0,0,61,45,544,6,1,0,,,90,135.4,AndrMa00
De'Von Achane,MIA,RB,22,11,4,0,0,0,103,800,8,37,27,197,3,1,1,,,164,190.7,AchaDe00
Justin Jefferson,MIN,WR,24,10,9,0,0,0,1,-12,0,100,68,1074,5,1,1,,,134,202.2,JeffJu00
Brian Robinson Jr.,WAS,RB,24,15,15,0,0,0,178,733,5,43,36,368,4,4,2,1,,162,198.1,RobiBr01
Rashee Rice,KAN,WR,23,16,8,0,0,0,1,-3,0,102,79,938,7,2,1,,,134,212.5,RiceRa01
D'Andre Swift*,PHI,RB,24,16,15,0,0,0,229,1049,5,49,39,214,1,3,1,,,160,199.3,SwifDA00
Courtland Sutton,DEN,WR,28,16,14,0,0,0,0,0,0,90,59,772,10,3,3,,,131,190.2,SuttCo00
Terry McLaurin,WAS,WR,28,17,17,0,0,0,0,0,0,132,79,1002,4,0,0,,,130,209.2,McLaTe00
Trevor Lawrence,JAX,QB,24,16,16,4016,21,14,70,339,4,0,0,0,0,12,7,,1,263,262.5,LawrTr00
Sam Howell,WAS,QB,23,17,17,3946,21,21,48,263,5,1,1,4,0,4,2,1,1,257,257.5,HoweSa00
Russell Wilson,DEN,QB,35,15,15,3070,26,8,80,341,3,0,0,0,0,10,5,,2,257,256.9,WilsRu00
Matthew Stafford*,LAR,QB,35,15,15,3965,24,11,21,65,0,0,0,0,0,0,0,1,1,243,243.1,StafMa00
Derek Carr,NOR,QB,32,17,17,3878,25,8,32,40,0,0,0,0,0,7,3,,2,241,241.1,CarrDe02
Justin Herbert,LAC,QB,25,13,13,3134,20,7,52,228,3,1,1,10,0,4,1,,1,233,234.2,HerbJu00
Justin Fields,CHI,QB,24,13,13,2562,16,9,124,657,4,0,0,0,0,10,4,,,230,230.2,FielJu00
Geno Smith*,SEA,QB,33,15,15,3624,20,9,37,155,1,1,1,-2,0,5,3,,2,226,227.3,SmitGe00
Joshua Dobbs,2TM,QB,28,13,12,2464,13,10,77,421,6,0,0,0,0,14,7,2,1,201,200.7,DobbJo00
Gardner Minshew II*,IND,QB,27,17,13,3305,15,9,34,100,3,0,0,0,0,8,5,,2,196,196.2,MinsGa00
Desmond Ridder,ATL,QB,24,15,13,2836,12,12,53,193,5,1,1,-6,0,12,7,,2,176,177.1,RiddDe00
Alvin Kamara,NOR,RB,28,13,12,0,0,0,180,694,5,86,75,466,1,0,0,3,,158,233.0,KamaAl00
Bryce Young,CAR,QB,22,16,16,2877,11,10,39,253,0,0,0,0,0,11,6,1,1,156,156.4,YounBr01
Kirk Cousins,MIN,QB,35,8,8,2331,18,5,14,25,0,0,0,0,0,7,4,,,150,149.7,CousKi00
Joe Burrow,CIN,QB,27,10,10,2309,15,6,31,88,0,0,0,0,0,2,1,,,147,147.2,BurrJo01
Kyler Murray,ARI,QB,26,8,8,1799,10,5,44,244,3,0,0,0,0,7,0,,1,146,146.4,MurrKy00
Chuba Hubbard,CAR,RB,24,17,12,0,0,0,238,902,5,44,39,233,0,1,0,,,144,182.5,HubbCh01
