player_name,team,position,age,games_played,games_started,passing_yards,passing_tds,interceptions,rushing_atts,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,fumbles,fumbles_lost,two_point_conversions,two_point_conversions_passing,fantasy_points_standard,fantasy_points_ppr,position_rank,overall_rank,player_id
Keenan Allen,LAC,WR,31,13,13,49,1,0,2,6,0,150,108,1243,7,2,1,0,0,1710,2789,11,27,AlleKe00
T.J. Hockenson,MIN,TE,26,15,11,0,0,0,0,0,0,127,95,960,5,1,1,0,0,1240,2190,4,28,HockTJ00
Stefon Diggs,BUF,WR,30,17,17,0,0,0,1,5,0,160,107,1183,8,2,1,1,0,1670,2738,12,29,DiggSt00
David Njoku,CLE,TE,27,16,16,0,0,0,0,0,0,123,81,882,6,2,2,0,0,1200,2012,5,30,NjokDa00
Brock Purdy,SFO,QB,24,16,16,4280,31,11,39,144,2,0,0,0,0,6,2,0,0,2960,2956,6,31,PurdBr00
David Montgomery,DET,RB,26,14,14,0,0,0,219,1015,13,24,16,117,0,2,1,1,0,1910,2072,9,32,MontDa01
Ja'Marr Chase,CIN,WR,23,16,16,-7,0,0,3,-6,0,145,100,1216,7,1,0,0,0,1630,2627,13,33,ChasJa00
Davante Adams,LVR,WR,31,17,17,0,0,0,0,0,0,175,103,1144,8,0,0,0,0,1620,2654,14,34,AdamDa01
Jahmyr Gibbs,DET,RB,21,15,3,0,0,0,182,945,10,71,52,316,1,2,1,0,0,1900,2421,10,35,GibbJa01
Evan Engram,JAX,TE,29,17,15,0,0,0,0,0,0,143,114,963,4,3,2,0,0,1160,2303,6,36,EngrEv00
James Cook,BUF,RB,24,17,13,0,0,0,237,1122,2,54,44,445,4,4,2,0,0,1890,2327,11,37,CookJa01
Bijan Robinson,ATL,RB,21,17,16,0,0,0,214,976,4,86,58,487,4,4,3,0,0,1880,2463,12,38,RobiBi01
D.K. Metcalf,SEA,WR,26,16,16,0,0,0,0,0,0,119,66,1114,8,0,0,0,0,1590,2254,15,39,MetcDK00
Jared Goff,DET,QB,29,17,17,4575,30,12,32,21,2,0,0,0,0,6,4,0,2,2890,2891,7,40,GoffJa00
Taysom Hill,NOR,TE,33,16,7,83,1,0,81,401,4,40,33,291,2,1,1,0,0,1110,1435,7,41,HillTa00
Amari Cooper,CLE,WR,29,15,15,0,0,0,0,0,0,128,72,1250,5,2,1,1,0,1550,2270,16,42,CoopAm00
Saquon Barkley,NYG,RB,26,14,14,0,0,0,247,962,6,60,41,280,4,2,2,1,0,1820,2232,13,43,BarkSa00
Calvin Ridley,JAX,WR,29,17,17,0,0,0,9,23,0,136,76,1016,8,1,0,1,0,1540,2299,17,44,RidlCa00
Jayden Reed,GNB,WR,23,16,13,0,0,0,11,119,2,94,64,793,8,2,0,1,0,1530,2172,18,45,ReedJa03
Cole Kmet,CHI,TE,24,17,17,0,0,0,3,2,0,90,73,719,6,1,0,0,0,1080,1811,8,46,KmetCo00
Jordan Addison,MIN,WR,21,17,14,0,0,0,1,2,0,108,70,911,10,0,0,0,0,1510,2213,19,47,AddiJo00
Jake Ferguson,DAL,TE,24,17,16,0,0,0,0,0,0,102,71,761,5,0,0,0,0,1060,1771,9,48,FergJa00
DeAndre Hopkins,TEN,WR,31,17,16,0,0,0,2,9,0,137,75,1057,7,0,0,0,0,1490,2236,20,49,HopkDe00
Patrick Mahomes,KAN,QB,28,16,16,4183,27,14,75,389,0,0,0,0,0,5,3,0,0,2800,2802,8,50,MahoPa00
Jakobi Meyers,LVR,WR,27,16,16,12,1,0,4,24,2,106,71,807,8,0,0,0,0,1480,2186,21,51,MeyeJa01
James Conner,ARI,RB,28,13,13,0,0,0,208,1040,7,33,27,165,2,0,0,0,0,1750,2015,15,52,ConnJa00
Gus Edwards,BAL,RB,28,17,9,0,0,0,198,810,13,13,12,180,0,3,2,1,0,1750,1870,14,53,EdwaGu00
DeVonta Smith,PHI,WR,25,16,16,0,0,0,0,0,0,112,81,1066,7,1,1,0,0,1470,2276,22,54,SmitDe07
George Pickens,PIT,WR,22,17,16,0,0,0,3,18,0,106,63,1140,5,3,0,0,0,1460,2088,23,55,PickGe00
Trey McBride,ARI,TE,24,17,12,0,0,0,0,0,0,106,81,825,3,1,0,0,0,1010,1815,10,56,McBrTr01
Chris Olave,NOR,WR,23,16,11,0,0,0,0,0,0,138,87,1123,5,0,0,1,0,1440,2313,24,57,OlavCh00
C.J. Stroud,HOU,QB,22,15,15,4108,23,5,39,167,3,1,1,0,0,8,4,1,0,2750,2760,9,58,StroCJ00
Kenneth Walker III,SEA,RB,23,15,15,0,0,0,219,905,8,37,29,259,1,1,0,0,0,1700,1994,16,59,WalkKe00
