team,position,age,games_played,games_started,passing_yards,passing_tds,interceptions,rushing_atts,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,fumbles,fumbles_lost,two_point_conversions,two_point_conversions_passing,fantasy_points_standard_10,fantasy_points_ppr_10,player_id,year
TAM,RB,23,14,13,0,0,0,192,978,7,42,28,165,1,2,2,0,0,1580,1863,JoneRo01,2020
PIT,WR,22,16,6,0,0,0,10,16,2,109,62,873,9,3,1,0,0,1530,2149,ClayCh01,2020
DET,WR,30,16,16,0,0,0,0,0,0,115,76,978,9,0,0,0,0,1520,2278,JoneMa02,2020
HOU,WR,27,15,15,0,0,0,0,0,0,119,81,1150,6,0,0,0,0,1510,2320,CookBr00,2020
MIN,QB,32,16,16,4265,35,13,32,156,1,0,0,0,0,9,5,0,5,3060,3062,CousKi00,2020
BAL,TE,25,14,2,0,0,0,0,0,0,88,58,701,7,2,0,0,0,1120,1701,AndrMa00,2020
SEA,RB,26,12,12,0,0,0,141,681,5,46,37,287,4,1,0,0,0,1510,1878,CarsCh00,2020
BAL,RB,22,15,1,0,0,0,134,805,9,24,18,120,0,2,0,2,0,1510,1685,DobbJK00,2020
CAR,WR,23,15,14,0,0,0,2,22,0,118,66,1193,4,0,0,0,0,1460,2115,MoorD.00,2020
LAC,WR,28,14,13,0,0,0,1,-1,0,147,100,992,8,3,2,1,0,1450,2451,AlleKe00,2020
DAL,WR,26,16,15,0,0,0,6,14,0,130,92,1114,5,0,0,1,0,1450,2368,CoopAm00,2020
DET,TE,23,16,16,0,0,0,1,0,0,101,67,723,6,1,1,1,0,1080,1753,HockTJ00,2020
CAR,RB,27,15,12,0,0,0,165,642,6,70,59,373,2,1,1,0,0,1480,2065,DaviMi01,2020
DAL,WR,21,16,14,0,0,0,10,82,1,111,74,935,5,2,1,1,0,1440,2177,LambCe00,2020
HOU,RB,29,12,12,0,0,0,147,691,6,46,33,314,2,2,1,0,0,1470,1795,JohnDa08,2020
MIA,TE,25,15,9,0,0,0,0,0,0,85,53,703,6,0,0,0,0,1060,1593,GesiMi00,2020
DET,RB,21,13,4,0,0,0,114,521,8,57,46,357,2,3,2,0,0,1440,1898,SwifDA00,2020
WAS,TE,29,16,15,28,0,0,3,5,0,110,72,670,6,0,0,0,0,1050,1766,ThomLo00,2020
TAM,TE,31,16,16,0,0,0,0,0,0,77,45,623,7,1,0,0,0,1040,1493,GronRo00,2020
PHI,RB,23,12,11,0,0,0,164,867,6,52,28,197,0,4,2,2,0,1420,1704,SandMi01,2020
LVR,WR,27,16,13,0,0,0,0,0,0,82,48,896,8,0,0,0,0,1380,1856,AghoNe00,2020
PIT,WR,24,16,14,0,0,0,0,0,0,128,97,831,9,3,1,1,0,1370,2341,SmitJu00,2020
KAN,RB,21,13,13,0,0,0,181,803,4,54,36,297,1,0,0,0,0,1400,1760,EdwaCl00,2020
WAS,WR,25,15,15,0,0,0,2,30,0,134,87,1118,4,1,1,0,0,1370,2238,McLaTe00,2020
HOU,WR,26,11,11,0,0,0,1,0,0,75,53,879,8,0,0,0,0,1360,1889,FullWi01,2020
CAR,WR,24,15,5,0,0,0,41,200,2,97,77,851,3,1,0,0,0,1350,2121,SamuCu00,2020
TEN,TE,25,15,14,0,0,0,2,4,1,65,41,448,8,0,0,0,0,990,1402,SmitJo01,2020
ATL,RB,26,15,15,0,0,0,195,678,9,35,25,164,0,2,0,0,0,1380,1632,GurlTo01,2020
PIT,WR,24,15,13,0,0,0,3,15,0,144,88,923,7,2,1,0,0,1340,2218,JohnDi01,2020
CAR,WR,27,16,16,0,0,0,4,15,0,136,95,1096,3,1,1,1,0,1290,2241,AndeRo04,2020
CHI,TE,34,16,15,0,0,0,0,0,0,76,50,456,8,1,0,0,0,940,1436,GrahJi00,2020
ATL,TE,27,16,9,0,0,0,0,0,0,88,56,571,6,0,0,0,0,930,1491,HursHa00,2020
CIN,WR,21,16,14,0,0,0,5,28,0,108,67,908,6,1,1,0,0,1280,1946,HiggTe00,2020
ATL,QB,35,16,16,4581,26,11,29,92,2,0,0,0,0,6,3,0,1,2820,2824,RyanMa00,2020
LVR,QB,29,16,16,4103,27,9,39,140,3,0,0,0,0,11,8,0,1,2720,2721,CarrDe02,2020
PIT,QB,38,15,15,3803,33,10,25,11,0,0,0,0,0,5,1,0,2,2670,2672,RoetBe00,2020
DET,QB,32,16,16,4084,26,10,29,112,0,1,0,0,0,2,1,0,2,2610,2606,StafMa00,2020
NWE,QB,31,15,15,2657,8,10,137,592,12,2,2,35,1,6,1,0,1,2590,2610,NewtCa00,2020
CLE,QB,25,16,16,3563,26,8,54,165,1,1,1,6,0,8,4,0,1,2480,2486,MayfBa00,2020
CAR,QB,28,15,15,3733,15,11,53,279,5,0,0,0,0,6,3,0,1,2410,2412,BridTe00,2020
LAR,QB,26,15,15,3952,20,13,51,99,4,0,0,0,0,7,4,0,1,2400,2400,GoffJa00,2020
IND,QB,39,16,16,4169,24,11,18,-8,0,0,0,0,0,2,1,0,1,2400,2400,RivePh00,2020
NOR,QB,41,12,12,2942,24,6,18,-2,2,0,0,0,0,6,2,0,0,2090,2095,BreeDr00,2020
PHI,QB,28,12,12,2620,16,15,52,276,5,0,0,0,0,10,4,0,5,1980,1984,WentCa00,2020
DEN,QB,24,13,13,2933,16,15,44,160,3,0,0,0,0,8,3,0,1,1810,1813,LockDr00,2020
NYG,QB,23,14,14,2943,11,10,65,423,1,0,0,0,0,10,6,0,1,1800,1800,JoneDa05,2020
CIN,QB,24,10,10,2688,13,5,37,142,3,0,0,0,0,9,4,0,0,1740,1737,BurrJo01,2020
JAX,QB,24,9,8,2259,16,5,29,153,1,1,1,0,0,5,4,0,1,1600,1607,MinsGa00,2020
CHI,QB,26,10,9,2055,16,8,33,195,1,0,0,0,0,6,2,0,1,1540,1537,TrubMi00,2020
MIA,QB,38,9,7,2091,13,8,30,151,2,1,1,0,0,2,0,1,2,1530,1537,FitzRy00,2020
DAL,QB,33,11,9,2170,14,8,28,114,0,1,1,-3,0,2,1,0,0,1360,1369,DaltAn00,2020
DAL,QB,27,5,5,1856,9,4,18,93,3,1,1,11,1,3,3,1,1,1350,1356,PresDa01,2020
MIA,QB,22,10,9,1814,11,5,36,109,3,0,0,0,0,1,1,0,1,1350,1355,TagoTu00,2020
NYJ,QB,23,12,12,2208,9,11,37,217,2,0,0,0,0,4,2,0,1,1340,1340,DarnSa00,2020
PIT,RB,25,13,11,0,0,0,169,721,6,43,35,215,0,2,0,0,0,1300,1646,ConnJa00,2020
IND,RB,24,16,2,0,0,0,89,380,3,76,63,482,4,0,0,1,0,1300,1932,HineNy00,2020
SFO,RB,25,12,3,0,0,0,126,600,7,28,13,133,3,2,2,0,0,1290,1423,WilsJe01,2020
BUF,WR,31,15,10,20,1,0,0,0,0,107,82,967,4,0,0,0,0,1260,2075,BeasCo00,2020
TEN,WR,25,14,12,0,0,0,0,0,0,92,65,984,5,1,1,0,0,1260,1914,DaviCo03,2020
TAM,WR,24,12,12,0,0,0,0,0,0,84,65,840,7,1,0,0,0,1260,1910,GodwCh00,2020
SFO,WR,22,12,11,0,0,0,6,77,2,96,60,748,5,0,0,0,0,1250,1845,AiyuBr00,2020
BAL,WR,23,16,14,0,0,0,1,1,0,100,58,769,8,0,0,0,0,1250,1830,BrowMa04,2020
MIA,RB,23,10,7,0,0,0,142,584,3,47,41,388,2,2,2,0,0,1230,1642,GaskMy00,2020
BAL,RB,25,16,6,0,0,0,144,723,6,13,9,129,0,1,1,0,0,1190,1282,EdwaGu00,2020
LAR,WR,27,15,12,0,0,0,4,33,0,124,92,974,3,1,1,0,0,1170,2087,KuppCo00,2020
NYG,RB,26,15,10,0,0,0,147,682,6,27,21,114,0,1,0,0,0,1160,1366,GallWa00,2020
CLE,WR,28,15,14,74,1,0,4,10,1,101,72,840,3,2,0,0,0,1160,1880,LandJa00,2020
SFO,QB,25,10,8,2437,12,12,9,8,0,0,0,0,0,6,4,0,1,1160,1163,MullNi00,2020
ARI,RB,24,16,2,0,0,0,97,448,1,67,53,402,4,2,0,0,0,1150,1680,EdmoCh00,2020
CIN,WR,26,15,8,16,0,0,5,49,0,110,79,841,4,1,0,0,0,1140,1926,BoydTy00,2020
DAL,WR,24,16,15,0,0,0,0,0,0,105,59,843,5,0,0,0,0,1140,1733,GallMi00,2020
LAR,RB,23,15,11,0,0,0,138,624,5,24,16,159,1,0,0,0,0,1140,1303,HendDa00,2020
NYJ,WR,27,12,7,43,1,0,1,14,0,89,59,699,6,0,0,0,0,1130,1720,CrowJa00,2020
NOR,RB,30,15,7,0,0,0,146,656,4,26,23,176,1,1,0,0,0,1130,1362,MurrLa00,2020
DET,RB,35,16,10,0,0,0,156,604,7,18,12,101,0,0,0,0,0,1130,1245,PeteAd01,2020
CIN,RB,29,16,10,0,0,0,124,416,3,59,47,355,3,1,1,0,0,1110,1581,BernGi00,2020
LAC,RB,25,10,10,0,0,0,116,530,1,65,54,403,2,1,0,0,0,1110,1653,EkelAu00,2020
WAS,RB,27,16,7,0,0,0,85,365,1,110,80,589,2,3,1,0,0,1110,1914,McKiJ.00,2020
DEN,WR,27,15,15,0,0,0,0,0,0,79,51,742,6,0,0,0,0,1100,1612,PatrTi00,2020
ATL,WR,24,16,8,39,1,0,2,9,0,109,72,786,4,0,0,0,0,1090,1811,GageRu00,2020
IND,WR,31,15,15,0,0,0,0,0,0,93,56,762,5,0,0,1,0,1080,1642,HiltT.00,2020
PHI,QB,22,15,4,1061,6,4,63,354,3,1,1,3,0,9,2,0,0,1080,1091,HurtJa00,2020
DEN,WR,21,16,14,0,0,0,0,0,0,113,52,856,3,2,0,1,0,1060,1576,JeudJe00,2020
BUF,RB,23,16,16,0,0,0,156,687,2,50,38,269,0,1,1,0,0,1060,1436,SingDe00,2020
LAC,WR,26,15,11,0,0,0,1,1,0,85,48,756,5,0,0,0,0,1060,1537,WillMi07,2020
CHI,QB,31,9,7,1852,10,8,16,1,1,0,0,0,0,2,0,0,0,1040,1042,FoleNi00,2020
NOR,WR,33,14,5,0,0,0,1,12,0,82,61,726,5,1,0,0,0,1040,1648,SandEm00,2020
GNB,WR,26,16,12,0,0,0,4,13,0,63,33,690,6,1,1,0,0,1040,1373,ValdMa00,2020
MIA,WR,27,14,11,0,0,0,0,0,0,103,63,793,4,1,0,0,0,1030,1663,ParkDe01,2020
BUF,WR,21,16,11,0,0,0,1,0,0,62,35,599,7,1,0,0,0,1020,1369,DaviGa01,2020
JAX,WR,24,13,12,0,0,0,0,0,0,93,53,706,5,0,0,0,0,1010,1536,CharDJ00,2020
JAX,WR,27,16,5,0,0,0,1,2,0,88,55,642,5,0,0,0,0,1000,1554,ColeKe00,2020
JAX,WR,22,14,12,0,0,0,18,91,0,79,58,600,5,0,0,0,0,990,1571,ShenLa00,2020
ARI,WR,24,14,10,0,0,0,2,3,0,79,48,621,6,1,0,0,0,980,1464,KirkCh01,2020
NYG,WR,27,12,12,0,0,0,6,49,1,90,66,656,3,0,0,1,0,970,1625,ShepSt00,2020
TAM,RB,25,13,3,0,0,0,97,367,6,47,36,233,0,0,0,0,0,960,1320,FourLe00,2020
GNB,RB,25,14,3,0,0,0,119,505,2,35,31,236,1,0,0,2,0,960,1271,WillJa06,2020
ATL,WR,31,9,9,0,0,0,0,0,0,68,51,771,3,0,0,0,0,950,1461,JoneJu02,2020
SFO,RB,28,16,4,0,0,0,81,319,5,46,33,253,1,0,0,0,0,930,1262,McKiJe00,2020
IND,WR,26,16,14,0,0,0,0,0,0,71,44,629,5,0,0,0,0,930,1369,PascZa00,2020
DAL,RB,23,16,2,0,0,0,101,435,4,40,28,193,1,0,0,0,0,930,1208,PollTo00,2020
LAR,RB,21,13,5,0,0,0,145,625,2,14,11,123,1,1,1,0,0,910,1018,AkerCa00,2020
CHI,WR,23,16,9,0,0,0,4,20,0,98,61,631,4,1,0,1,0,910,1521,MoonDa00,2020
NYG,WR,23,16,15,0,0,0,2,-1,0,96,50,751,3,1,1,0,0,910,1410,SlayDa01,2020
NOR,TE,33,15,5,0,0,0,0,0,0,60,37,504,7,1,1,0,0,900,1274,CookJa02,2020
BUF,RB,23,13,0,0,0,0,112,481,4,18,14,95,1,0,0,0,0,880,1016,MossZa00,2020
DEN,TE,23,15,14,0,0,0,0,0,0,93,62,673,3,0,0,1,0,870,1493,FantNo00,2020
KAN,WR,22,16,8,0,0,0,4,31,0,62,41,560,4,2,2,1,0,870,1281,HardMe00,2020
LAR,RB,27,16,0,0,0,0,101,419,5,33,23,162,0,1,1,0,0,860,1091,BrowMa03,2020
PIT,TE,27,15,9,0,0,0,0,0,0,91,56,558,5,1,1,1,0,860,1418,EbroEr00,2020
NWE,RB,23,10,10,0,0,0,137,691,2,7,5,52,0,1,0,0,0,860,913,HarrDa06,2020
LAC,TE,26,14,14,0,0,0,0,0,0,93,60,613,4,0,0,0,0,850,1453,HenrHu00,2020
NYJ,RB,37,15,14,0,0,0,187,653,2,19,16,89,0,1,1,0,0,840,1002,GoreFr00,2020
LAR,TE,27,15,15,0,0,0,1,1,0,60,44,521,5,0,0,1,0,840,1282,HigbTy00,2020
CLE,WR,26,13,6,0,0,0,0,0,0,52,37,599,4,3,0,0,0,840,1209,HiggRa00,2020
NWE,WR,24,14,9,43,2,0,2,9,0,81,59,729,0,1,1,1,0,840,1425,MeyeJa01,2020
SEA,WR,25,16,6,0,0,0,8,61,0,47,35,417,6,1,0,0,0,840,1188,MoorDa03,2020
SFO,RB,28,8,8,0,0,0,104,521,2,19,16,156,1,1,1,0,0,840,997,MostRa00,2020
DAL,TE,24,16,14,0,0,0,0,0,0,89,63,615,4,1,1,0,0,840,1465,SchuDa00,2020
NWE,RB,30,10,0,0,0,0,67,274,3,33,25,192,3,0,0,0,0,830,1076,BurkRe00,2020
SFO,WR,25,15,5,0,0,0,0,0,0,74,49,667,2,0,0,1,0,810,1297,BourKe00,2020
PHI,WR,25,16,10,15,0,0,2,-4,0,79,53,419,6,2,0,1,0,800,1331,WardGr02,2020
CIN,RB,24,6,6,0,0,0,119,428,3,26,21,138,1,1,1,0,0,790,996,MixoJo00,2020
NYG,TE,26,16,14,0,0,0,6,26,1,109,63,654,1,1,1,0,0,780,1410,EngrEv00,2020
PHI,WR,25,13,8,0,0,0,0,0,0,67,38,539,4,0,0,0,0,780,1159,FulgTr00,2020
SFO,TE,27,8,8,0,0,0,2,17,0,63,48,634,2,0,0,0,0,770,1251,KittGe00,2020
LVR,WR,25,16,6,0,0,0,0,0,0,77,56,656,2,2,1,0,0,760,1316,RenfHu00,2020
MIN,RB,22,13,2,0,0,0,96,434,2,15,13,125,1,0,0,0,0,740,869,MattAl01,2020
CAR,RB,24,3,3,0,0,0,59,225,5,19,17,149,1,0,0,0,0,730,904,McCaCh01,2020
TAM,WR,32,8,4,0,0,0,2,-2,0,62,45,483,4,0,0,0,0,720,1171,BrowAn04,2020
LAR,WR,25,16,13,0,0,0,1,5,0,81,52,618,2,2,1,0,0,720,1243,ReynJo00,2020
WAS,QB,36,8,6,1582,6,8,10,3,0,0,0,0,0,2,0,0,0,720,716,SmitAl03,2020
PHI,RB,25,16,4,0,0,0,80,374,1,36,25,212,1,2,0,0,0,710,956,ScotBo02,2020
PHI,TE,25,11,9,0,0,0,0,0,0,65,46,524,3,0,0,0,0,700,1164,GoedDa00,2020
ATL,RB,25,16,1,0,0,0,100,465,1,30,25,199,0,2,1,0,0,700,954,HillBr02,2020
BUF,WR,25,16,7,12,1,0,10,9,0,34,30,282,5,0,0,0,0,700,996,McKeIs00,2020
TAM,WR,23,16,5,0,0,0,3,14,0,53,33,501,3,0,0,0,0,700,1025,MillSc01,2020
LVR,RB,28,16,1,0,0,0,93,423,3,21,17,84,0,1,0,0,0,690,857,BookDe00,2020
LAC,WR,23,16,9,0,0,0,2,0,0,55,28,511,3,0,0,0,0,690,971,GuytJa01,2020
SEA,RB,30,10,1,0,0,0,81,356,4,20,16,93,0,1,0,0,0,690,849,HydeCa00,2020
NYJ,WR,27,12,12,0,0,0,1,6,0,60,30,505,3,0,0,0,0,690,991,PerrBr02,2020
MIN,TE,22,13,7,0,0,0,0,0,0,43,30,365,5,0,0,1,0,690,985,SmitIr01,2020
NOR,WR,24,14,10,0,0,0,1,3,0,50,34,448,4,1,0,0,0,690,1031,SmitTr03,2020
PIT,WR,24,16,7,0,0,0,0,0,0,56,30,392,5,0,0,0,0,690,992,WashJa00,2020
NWE,WR,27,16,14,0,0,0,2,15,0,77,47,604,1,3,0,0,0,680,1149,ByrdDa00,2020
WAS,QB,23,7,6,1439,5,7,20,46,1,0,0,0,0,6,3,0,0,680,682,HaskDw00,2020
CLE,TE,26,13,13,0,0,0,0,0,0,70,46,435,4,0,0,0,0,680,1135,HoopAu00,2020
NWE,RB,25,9,6,0,0,0,79,449,1,9,7,114,1,0,0,0,0,680,753,MichSo00,2020
NWE,RB,28,14,0,0,0,0,35,121,2,62,49,375,1,1,0,0,0,680,1166,WhitJa02,2020
ARI,TE,25,16,5,0,0,0,0,0,0,45,31,438,4,2,1,0,0,660,968,ArnoDa00,2020
2TM,RB,25,11,2,0,0,0,91,303,3,37,29,166,0,1,0,0,0,650,939,BallKa00,2020
GNB,WR,25,10,9,0,0,0,2,17,0,46,33,451,3,0,0,0,0,650,978,LazaAl00,2020
PIT,RB,22,16,3,0,0,0,111,368,4,14,10,61,0,2,1,0,0,650,749,SnelBe00,2020
CLE,WR,28,7,7,18,0,0,3,72,1,43,23,319,3,0,0,0,0,640,868,BeckOd00,2020
BUF,WR,30,9,8,0,0,0,0,0,0,52,33,458,3,0,0,0,0,640,968,BrowJo02,2020
SFO,QB,29,6,6,1096,7,5,10,25,0,0,0,0,0,2,0,0,0,640,643,GaroJi00,2020
CIN,WR,32,16,14,0,0,0,0,0,0,104,47,523,2,0,0,0,0,640,1113,GreeA.00,2020
SFO,RB,29,16,15,0,0,0,17,64,2,29,19,202,4,1,0,0,0,630,816,JuszKy00,2020
KAN,WR,26,16,9,0,0,0,0,0,0,59,45,466,3,2,1,0,0,630,1076,RobiDe01,2020
HOU,WR,30,10,2,0,0,0,0,0,0,48,38,441,3,0,0,0,0,620,1001,CobbRa00,2020
JAX,QB,31,5,5,1072,7,5,6,17,0,0,0,0,0,2,2,0,1,610,606,GlenMi00,2020
BAL,WR,28,13,8,0,0,0,0,0,0,48,33,432,3,1,0,0,0,610,942,SneaWi00,2020
DET,WR,35,14,5,0,0,0,1,2,0,69,46,602,0,0,0,0,0,600,1064,AmenDa00,2020
NYJ,WR,25,16,2,0,0,0,3,29,0,55,37,394,3,0,0,0,0,600,973,BerrBr00,2020
DEN,WR,21,13,4,0,0,0,9,40,0,56,30,381,3,2,0,0,0,600,901,HamlKJ00,2020
LAC,WR,24,12,0,0,0,0,3,17,0,26,20,398,3,0,0,0,0,600,795,JohnTy03,2020
CHI,WR,26,16,6,0,0,0,2,12,0,76,49,485,2,2,1,0,0,600,1087,MillAn02,2020
2TM,RB,28,11,4,0,0,0,82,328,2,20,16,138,0,1,0,0,0,590,746,BellLe00,2020
DEN,RB,26,11,8,0,0,0,118,502,1,14,7,28,0,0,0,0,0,590,660,LindPh00,2020
IND,WR,23,13,8,0,0,0,3,26,0,61,40,503,1,0,0,0,0,590,989,PittMi01,2020
MIA,RB,22,6,4,0,0,0,75,319,3,14,11,61,0,0,0,1,0,580,690,AhmeSa01,2020
LAC,RB,23,14,0,0,0,0,111,354,2,23,23,148,0,2,2,0,0,580,812,KellJo01,2020
LVR,WR,21,13,12,0,0,0,9,49,0,43,26,452,2,2,2,0,0,580,841,RuggHe00,2020
JAX,WR,28,15,4,0,0,0,0,0,0,63,40,471,2,1,1,0,0,570,971,ConlCh00,2020
MIA,WR,23,8,7,0,0,0,0,0,0,35,18,288,4,0,0,2,0,570,748,WillPr01,2020
HOU,RB,27,11,5,0,0,0,77,235,1,35,28,249,1,3,2,0,0,560,844,JohnDu00,2020
PHI,WR,21,11,11,0,0,0,4,26,0,54,31,396,1,2,0,1,0,560,872,ReagJa00,2020
IND,TE,29,13,4,0,0,0,2,3,2,47,28,250,3,0,0,0,0,550,833,BurtTr01,2020
HOU,TE,34,16,14,0,0,0,0,0,0,28,21,312,4,0,0,0,0,550,762,FellDa01,2020
NYJ,QB,35,5,4,864,6,3,6,22,0,0,0,0,0,1,0,0,0,550,548,FlacJo00,2020
CIN,RB,25,16,1,0,0,0,63,301,3,12,11,66,0,0,0,0,0,550,657,PeriSa00,2020
HOU,WR,23,8,4,0,0,0,0,0,0,40,33,400,3,4,3,1,0,540,870,CoutKe00,2020
WAS,WR,24,16,10,0,0,0,1,5,0,48,32,477,1,1,0,0,0,540,862,SimsCa00,2020
DET,RB,23,16,2,0,0,0,52,181,2,26,19,187,1,1,1,0,0,530,718,JohnKe06,2020
SFO,QB,27,6,2,787,6,0,6,28,0,0,0,0,0,3,3,0,0,520,523,BeatC.00,2020
LAR,TE,26,16,7,0,0,0,1,2,1,62,41,417,1,1,1,0,0,520,929,EverGe00,2020
NYG,WR,32,12,4,18,0,0,0,0,0,52,35,388,2,0,0,0,0,520,865,TateGo00,2020
WAS,RB,26,16,2,0,0,0,94,258,4,7,4,12,0,0,0,0,0,510,550,BarbPe01,2020
BAL,WR,24,16,13,0,0,0,0,0,0,33,19,266,4,0,0,0,0,510,696,BoykMi00,2020
MIA,WR,28,14,4,0,0,0,3,20,0,54,36,373,1,2,0,0,0,510,873,GranJa00,2020
CIN,QB,28,5,5,925,5,4,13,27,0,1,0,0,0,1,1,0,0,500,497,AlleBr00,2020
KAN,WR,27,10,9,0,0,1,1,3,0,55,37,421,2,1,1,0,0,500,874,WatkSa00,2020
IND,TE,27,15,6,0,0,0,0,0,0,39,31,394,2,1,1,0,0,490,804,AlieMo00,2020
IND,RB,26,15,0,0,0,0,84,308,1,16,12,105,0,0,0,1,0,490,613,WilkJo01,2020
CHI,WR,29,16,3,0,0,0,64,232,1,25,21,132,0,0,0,0,0,480,694,PattCo00,2020
SFO,WR,24,7,5,0,0,0,8,26,0,44,33,391,1,0,0,0,0,480,807,SamuDe00,2020
HOU,TE,28,13,5,0,0,0,1,4,0,49,37,403,1,0,0,0,0,470,837,AkinJo00,2020
DET,WR,22,13,2,0,0,0,0,0,0,35,20,349,2,0,0,0,0,470,669,CephQu00,2020
JAX,TE,30,15,4,0,0,0,0,0,0,60,36,349,2,0,0,0,0,470,829,EifeTy00,2020
ARI,WR,37,13,13,0,0,0,0,0,0,72,54,409,1,0,0,0,0,470,1009,FitzLa00,2020
BAL,RB,31,11,9,0,0,0,72,299,2,8,6,50,0,0,0,0,0,470,529,IngrMa01,2020
2TM,RB,23,13,1,0,0,0,54,254,1,21,16,99,1,0,0,0,0,470,633,JohnTy02,2020
SFO,TE,30,10,1,0,0,0,0,0,0,46,26,231,4,0,0,0,0,470,731,ReedJo02,2020
PHI,TE,28,14,4,0,0,0,0,0,0,31,24,345,2,0,0,0,0,470,705,RodgRi00,2020
DET,WR,27,5,5,0,0,0,0,0,0,32,20,338,2,0,0,0,0,460,658,GollKe00,2020
LAC,RB,24,9,4,0,0,0,59,270,0,24,19,173,0,0,0,1,0,460,653,JackJu01,2020
WAS,QB,24,4,4,610,4,1,7,26,1,0,0,0,0,1,1,0,0,450,450,AlleKy00,2020
TEN,RB,25,16,1,0,0,0,0,0,0,53,39,387,1,0,0,0,0,450,837,FirkAn00,2020
CLE,WR,21,12,2,0,0,0,0,0,0,20,14,304,2,0,0,1,0,440,584,PeopDo00,2020
NOR,WR,27,7,5,0,0,0,1,1,0,55,40,438,0,0,0,0,0,440,839,ThomMi05,2020
NYJ,TE,24,16,13,0,0,0,0,0,0,45,31,287,3,2,2,0,0,430,737,HernCh00,2020
BUF,TE,24,12,7,0,0,0,0,0,0,44,24,288,3,2,2,0,0,430,668,KnoxDa00,2020
PHI,TE,30,11,11,0,0,0,0,0,0,72,36,335,1,0,0,1,0,420,775,ErtzZa00,2020
2TM,WR,27,12,6,0,0,0,1,1,0,32,18,302,2,0,0,0,0,420,603,HallMa02,2020
NYJ,RB,22,10,0,0,0,0,64,232,2,15,11,63,0,0,0,0,0,420,525,PeriLa00,2020
IND,TE,30,14,12,0,0,0,0,0,0,33,23,251,3,1,1,0,0,410,641,DoylJa00,2020
NWE,WR,23,14,9,0,0,0,2,0,0,57,33,309,2,1,1,0,0,410,739,HarrNK00,2020
SEA,TE,27,16,5,0,0,0,0,0,0,40,25,209,3,0,0,1,0,410,659,HollJa03,2020
SFO,WR,25,11,7,0,0,0,0,0,0,35,23,394,1,2,2,0,0,410,644,JameRi00,2020
JAX,WR,23,14,0,0,0,0,0,0,0,31,18,272,2,0,0,1,0,410,592,JohnCo01,2020
TAM,TE,29,16,1,0,0,0,0,0,0,34,28,282,2,0,0,0,0,400,682,BratCa00,2020
SEA,RB,22,12,2,0,0,0,34,108,2,20,17,111,1,0,0,0,0,400,569,DallDe00,2020
ATL,RB,25,14,0,0,0,0,63,268,1,26,17,75,0,1,0,0,0,400,573,SmitIt00,2020
DEN,WR,25,16,2,0,0,0,0,0,0,44,23,293,2,1,1,0,0,390,623,HamiDa01,2020
CIN,TE,24,16,13,0,0,0,0,0,0,53,40,349,1,1,1,0,0,390,789,SampDr00,2020
CLE,TE,22,15,9,0,0,0,0,0,0,38,24,238,3,2,2,0,0,380,618,BryaHa00,2020
GNB,RB,22,11,0,0,0,0,46,242,2,2,2,21,0,0,0,0,0,380,403,DillAJ00,2020
NYG,RB,30,16,0,0,0,0,29,115,2,30,19,127,1,3,2,0,0,380,572,LewiDi00,2020
NYJ,WR,23,9,8,0,0,0,0,0,0,44,23,357,0,0,0,1,0,380,607,MimsDe00,2020
NYG,RB,32,9,0,0,0,0,55,238,1,4,3,19,1,0,0,0,0,380,407,MorrAl00,2020
SEA,TE,24,16,12,0,0,0,0,0,0,29,24,251,2,0,0,0,0,370,611,DissWi00,2020
MIN,TE,31,12,12,0,0,0,0,0,0,37,28,334,1,1,1,0,0,370,654,RudoKy00,2020
KAN,RB,25,16,0,0,0,0,39,169,1,26,18,116,0,0,0,1,0,370,545,WillDa10,2020
NWE,WR,34,6,1,38,0,0,2,22,0,39,21,315,0,0,0,0,0,350,562,EdelJu00,2020
TEN,WR,27,7,1,0,0,0,0,0,0,35,23,228,2,0,0,0,0,350,578,HumpAd00,2020
DAL,WR,25,16,0,23,1,0,3,-12,0,28,17,189,2,0,0,0,0,350,516,WilsCe01,2020
ARI,WR,24,13,2,0,0,0,1,-6,0,35,21,224,2,1,0,0,0,340,548,IsabAn00,2020
CHI,TE,21,16,9,0,0,0,1,-3,0,44,28,243,2,1,1,0,0,340,620,KmetCo00,2020
LAC,TE,23,13,5,0,0,0,0,0,0,20,10,159,3,0,0,0,0,340,439,ParhDo00,2020
MIA,RB,25,12,1,0,0,0,59,254,0,10,9,96,0,2,1,0,0,330,420,BreiMa00,2020
BAL,WR,23,16,3,0,0,0,4,70,0,26,20,201,0,0,0,0,0,330,531,DuveDe00,2020
CLE,TE,24,13,5,0,0,0,0,0,0,29,19,213,2,0,0,0,0,330,523,NjokDa00,2020
MIA,TE,26,16,5,0,0,0,0,0,0,22,12,150,3,0,0,0,0,330,450,ShahAd00,2020
MIA,TE,25,15,13,0,0,0,0,0,0,29,26,208,2,0,0,0,0,330,588,SmytDu00,2020
ATL,WR,23,11,2,0,0,0,1,0,0,32,20,274,1,0,0,0,0,330,534,ZaccOl01,2020
TEN,RB,25,16,0,0,0,0,47,204,1,17,12,55,0,0,0,0,0,320,439,McNiJe00,2020
LVR,RB,27,13,0,0,0,0,22,123,1,23,19,138,0,1,0,0,0,320,511,RichJa01,2020
NYJ,RB,24,8,0,0,0,0,29,157,2,8,6,29,0,0,0,0,0,310,366,AdamJo03,2020
