name,team,position,age,games_played,games_started,passing_yards,passing_tds,interceptions,rushing_atts,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,fumbles,fumbles_lost,two_point_conversions,two_point_conversions_passing,fantasy_points_standard_10,fantasy_points_ppr_10,player_id,year
David Montgomery,CHI,RB,24,13,13,0,0,1,225,849,7,51,42,301,0,1,1,0,0,1530,1950,MontDa01,2021
AJ Dillon,GNB,RB,23,17,2,0,0,0,187,803,5,37,34,313,2,2,1,0,0,1520,1856,DillAJ00,2021
Kendrick Bourne,NWE,WR,26,17,5,25,1,0,12,125,0,70,55,800,5,1,1,0,0,1260,1805,BourKe00,2021
Darrel Williams,KAN,RB,26,17,7,0,0,0,144,558,6,57,47,452,2,0,0,0,0,1490,1960,WillDa10,2021
D'Andre Swift,DET,RB,22,13,4,0,0,0,151,617,5,78,62,452,2,2,1,0,0,1470,2089,SwifDA00,2021
Ryan Tannehill,TEN,QB,33,17,17,3734,21,14,55,270,7,0,0,0,0,10,4,0,1,2680,2684,TannRy00,2021
Carson Wentz,IND,QB,29,17,17,3563,27,7,57,215,1,0,0,0,0,8,5,0,2,2580,2580,WentCa00,2021
Derek Carr,LVR,QB,30,17,17,4804,23,14,40,108,0,0,0,0,0,13,5,0,0,2570,2570,CarrDe02,2021
Russell Wilson,SEA,QB,33,14,14,3113,25,6,43,183,2,0,0,0,0,6,1,0,1,2430,2428,WilsRu00,2021
Lamar Jackson,BAL,QB,24,12,12,2882,16,13,133,767,2,0,0,0,0,6,3,0,2,2400,2400,JackLa00,2021
Jimmy Garoppolo,SFO,QB,30,15,15,3810,20,12,38,51,3,0,0,0,0,8,3,0,1,2280,2275,GaroJi00,2021
Mac Jones,NWE,QB,23,17,17,3801,22,13,44,129,0,0,0,0,0,7,3,0,2,2250,2249,JoneMa05,2021
Matt Ryan,ATL,QB,36,17,17,3968,20,12,40,82,1,0,0,0,0,11,4,1,0,2230,2229,RyanMa00,2021
Taylor Heinicke,WAS,QB,28,16,15,3419,20,15,60,313,1,1,1,-2,0,7,2,1,0,2220,2229,HeinTa00,2021
Ben Roethlisberger,PIT,QB,39,16,16,3740,22,10,20,5,1,0,0,0,0,11,5,0,2,2180,2181,RoetBe00,2021
Teddy Bridgewater,DEN,QB,29,14,14,3052,18,7,30,106,2,0,0,0,0,1,1,0,1,2030,2027,BridTe00,2021
Trevor Lawrence,JAX,QB,22,17,17,3641,12,17,73,334,2,0,0,0,0,9,5,0,2,1990,1990,LawrTr00,2021
Jared Goff,DET,QB,27,14,14,3245,19,8,17,87,0,0,0,0,0,9,6,0,4,1950,1945,GoffJa00,2021
Baker Mayfield,CLE,QB,26,14,14,3010,17,13,37,134,1,0,0,11,0,6,3,0,2,1810,1809,MayfBa00,2021
Tua Tagovailoa,MIA,QB,23,13,12,2653,16,10,42,128,3,0,0,0,0,9,1,0,1,1810,1809,TagoTu00,2021
Daniel Jones,NYG,QB,24,11,11,2428,10,7,62,298,2,1,1,16,0,7,3,2,1,1670,1675,JoneDa05,2021
Sam Darnold,CAR,QB,24,12,11,2527,9,13,48,222,5,0,0,0,0,9,4,0,1,1570,1573,DarnSa00,2021
Davis Mills,HOU,QB,23,13,11,2664,16,10,18,44,0,0,0,0,0,5,1,1,1,1570,1570,MillDa02,2021
Zach Wilson,NYJ,QB,22,13,13,2334,9,11,29,185,4,1,0,0,0,5,1,1,1,1520,1519,WilsZa00,2021
Elijah Mitchell,SFO,RB,23,11,10,0,0,0,207,963,5,20,19,137,1,0,0,0,0,1460,1650,MitcEl00,2021
James Robinson,JAX,RB,23,14,13,0,0,0,164,767,8,46,31,222,0,4,2,0,0,1430,1739,RobiJa00,2021
Darrell Henderson,LAR,RB,24,12,10,0,0,0,149,688,5,40,29,176,3,0,0,0,0,1340,1634,HendDa00,2021
Justin Fields,CHI,QB,22,12,10,1870,7,10,72,420,2,0,0,0,0,12,5,0,0,1270,1268,FielJu00,2021
Myles Gaskin,MIA,RB,24,17,10,0,0,0,173,612,3,63,49,234,4,2,1,0,0,1250,1736,GaskMy00,2021
Sony Michel,LAR,RB,26,17,7,0,0,0,208,845,4,33,21,128,1,1,1,0,0,1250,1463,MichSo00,2021
Tony Pollard,DAL,RB,24,15,0,0,0,0,130,719,2,46,39,337,0,2,0,0,0,1240,1626,PollTo00,2021
DeVonta Smith,PHI,WR,23,17,16,0,0,0,0,0,0,104,64,916,5,1,1,1,0,1220,1856,SmitDe07,2021
A.J. Brown,TEN,WR,24,13,13,0,0,0,2,10,0,105,63,869,5,0,0,0,0,1180,1809,BrowAJ00,2021
Michael Carter,NYJ,RB,22,14,11,0,0,0,147,639,4,55,36,325,0,1,1,0,0,1180,1544,CartMi03,2021
Van Jefferson,LAR,WR,25,17,17,0,0,0,2,20,0,89,50,802,6,0,0,0,0,1180,1682,JeffVa00,2021
Tyler Boyd,CIN,WR,27,16,10,46,0,0,2,22,0,94,67,828,5,1,0,0,0,1170,1838,BoydTy00,2021
Jameis Winston,NOR,QB,27,7,7,1170,14,3,32,166,1,0,0,0,0,2,1,0,0,1170,1174,WinsJa00,2021
Rashaad Penny,SEA,RB,25,10,6,0,0,0,119,749,6,8,6,48,0,0,0,0,0,1160,1217,PennRa00,2021
Brandon Aiyuk,SFO,WR,23,17,16,0,0,0,5,17,0,84,56,826,5,2,1,1,0,1140,1703,AiyuBr00,2021
Devonta Freeman,BAL,RB,29,16,8,0,0,0,133,576,5,42,34,190,1,0,0,0,0,1130,1466,FreeDe00,2021
Chuba Hubbard,CAR,RB,22,17,10,0,0,0,172,612,5,37,25,174,1,1,1,0,0,1130,1376,HubbCh01,2021
K.J. Osborn,MIN,WR,24,17,9,0,0,0,1,10,0,82,50,655,7,0,0,0,0,1090,1585,OsboKJ00,2021
Saquon Barkley,NYG,RB,24,13,13,0,0,0,162,593,2,57,41,263,2,2,1,0,0,1080,1486,BarkSa00,2021
Chase Claypool,PIT,WR,23,15,13,0,0,0,14,96,0,105,59,860,2,0,0,0,0,1080,1666,ClayCh01,2021
Marvin Jones,JAX,WR,31,17,16,0,0,0,0,0,0,120,73,832,4,0,0,0,0,1070,1802,JoneMa02,2021
Marquez Callaway,NOR,WR,23,17,11,0,0,0,0,0,0,84,46,698,6,0,0,0,0,1060,1518,CallMa01,2021
DeAndre Hopkins,ARI,WR,29,10,10,0,0,0,0,0,0,64,42,572,8,0,0,0,0,1050,1472,HopkDe00,2021
Devontae Booker,NYG,RB,29,16,4,0,0,0,145,593,2,45,40,268,1,0,0,0,0,1040,1441,BookDe00,2021
A.J. Green,ARI,WR,33,16,9,0,0,0,0,0,0,92,54,848,3,0,0,0,0,1030,1568,GreeA.00,2021
Allen Lazard,GNB,WR,26,15,13,0,0,0,3,32,0,60,40,513,8,0,0,0,0,1030,1425,LazaAl00,2021
Jakobi Meyers,NWE,WR,25,17,16,45,0,0,1,9,0,126,83,866,2,1,1,2,0,1030,1863,MeyeJa01,2021
Tim Patrick,DEN,WR,28,16,16,0,0,0,0,0,0,85,53,734,5,0,0,0,0,1030,1564,PatrTi00,2021
Cedrick Wilson Jr.,DAL,WR,26,16,4,88,0,0,2,11,0,61,45,602,6,3,0,1,0,1030,1478,WilsCe01,2021
Rhamondre Stevenson,NWE,RB,23,12,2,0,0,0,133,606,5,18,14,123,0,2,1,0,0,1010,1149,StevRh00,2021
Chase Edmonds,ARI,RB,25,12,11,0,0,0,116,592,2,53,43,311,0,1,1,0,0,1000,1433,EdmoCh00,2021
Clyde Edwards-Helaire,KAN,RB,22,10,10,0,0,0,119,517,4,23,19,129,2,2,2,1,0,990,1176,EdwaCl00,2021
Russell Gage,ATL,WR,25,14,9,0,0,0,0,0,0,94,66,770,4,2,2,0,0,970,1630,GageRu00,2021
Elijah Moore,NYJ,WR,21,11,6,0,0,0,5,54,1,77,43,538,5,0,0,0,0,950,1382,MoorEl00,2021
Mike Davis,ATL,RB,28,17,8,0,0,0,138,503,3,58,44,259,1,4,3,0,0,940,1382,DaviMi01,2021
Alexander Mattison,MIN,RB,23,16,4,0,0,0,134,491,3,39,32,228,1,1,1,0,0,940,1259,MattAl01,2021
Latavius Murray,BAL,RB,31,14,6,0,0,0,119,501,6,13,10,75,0,0,0,0,0,940,1036,MurrLa00,2021
Jamaal Williams,DET,RB,26,13,11,0,0,0,153,601,3,28,26,157,0,1,0,0,0,940,1198,WillJa06,2021
Pat Freiermuth,PIT,TE,23,16,9,0,0,0,0,0,0,79,60,497,7,1,1,1,0,920,1517,FreiPa00,2021
Mike Gesicki,MIA,TE,26,17,9,0,0,0,0,0,0,112,73,780,2,0,0,1,0,920,1650,GesiMi00,2021
Courtland Sutton,DEN,WR,26,17,16,16,0,0,0,0,0,98,58,776,2,0,0,1,0,920,1502,SuttCo00,2021
Robert Woods,LAR,WR,29,9,9,0,0,0,8,46,1,69,45,556,4,0,0,1,0,920,1372,WoodRo02,2021
Gabriel Davis,BUF,WR,22,16,4,0,0,0,0,0,0,63,35,549,6,0,0,0,0,910,1259,DaviGa01,2021
Noah Fant,DEN,TE,24,16,16,0,0,0,0,0,0,90,68,670,4,0,0,0,0,910,1590,FantNo00,2021
Christian McCaffrey,CAR,RB,25,7,7,0,0,0,99,442,1,41,37,343,1,1,0,0,0,910,1275,McCaCh01,2021
Miles Sanders,PHI,RB,24,12,12,0,0,0,137,754,0,34,26,158,0,1,1,1,0,910,1172,SandMi01,2021
Kenneth Gainwell,PHI,RB,22,16,1,0,0,0,68,291,5,50,33,253,1,2,1,1,0,900,1234,GainKe00,2021
Emmanuel Sanders,BUF,WR,34,14,13,0,0,0,2,31,0,72,42,626,4,0,0,0,0,900,1317,SandEm00,2021
Trevor Siemian,NOR,QB,30,6,4,1154,11,3,9,20,1,0,0,0,0,3,1,0,0,900,902,SiemTr00,2021
Kareem Hunt,CLE,RB,26,8,1,0,0,0,78,386,5,27,22,174,0,0,0,1,0,880,1100,HuntKa00,2021
Robbie Chosen,CAR,WR,28,17,16,0,0,0,3,36,0,110,53,519,5,0,0,0,0,860,1385,AndeRo04,2021
Tyler Higbee,LAR,TE,28,15,15,0,0,0,0,0,0,85,61,560,5,1,0,0,0,860,1470,HigbTy00,2021
Cam Newton,CAR,QB,32,8,5,684,4,5,47,230,5,0,0,0,0,4,1,0,1,860,864,NewtCa00,2021
Boston Scott,PHI,RB,26,16,4,0,0,0,87,373,7,16,13,83,0,1,1,0,0,860,986,ScotBo02,2021
Odell Beckham Jr.,2TM,WR,29,14,13,0,0,0,2,14,0,82,44,537,5,0,0,0,0,850,1291,BeckOd00,2021
D'Onta Foreman,TEN,RB,25,9,3,0,0,0,133,566,3,11,9,123,0,2,1,0,0,850,939,ForeDO00,2021
D'Ernest Johnson,CLE,RB,25,17,2,0,0,0,100,534,3,25,19,137,0,1,0,0,0,850,1041,JohnDE04,2021
J.D. McKissic,WAS,RB,28,11,3,0,0,0,48,212,2,53,43,397,2,0,0,0,0,850,1279,McKiJ.00,2021
Byron Pringle,KAN,WR,28,17,5,0,0,0,0,0,0,60,42,568,5,2,1,0,0,850,1268,PrinBy00,2021
Jared Cook,LAC,TE,34,16,10,0,0,0,0,0,0,83,48,564,4,0,0,2,0,840,1324,CookJa02,2021
Andy Dalton,CHI,QB,34,8,6,1515,8,9,16,76,0,0,0,0,0,1,1,0,2,840,842,DaltAn00,2021
T.J. Hockenson,DET,TE,24,12,12,0,0,0,0,0,0,84,61,583,4,0,0,1,0,840,1453,HockTJ00,2021
Kalif Raymond,DET,WR,27,16,14,0,0,0,4,28,0,71,48,576,4,0,0,0,0,840,1324,RaymKa00,2021
Brandon Bolden,NWE,RB,31,17,1,0,0,0,44,226,1,49,41,405,2,1,0,1,0,830,1241,BoldBr00,2021
Tyler Huntley,BAL,QB,23,7,4,1081,3,4,47,294,2,0,0,0,0,4,3,0,0,830,826,HuntTy01,2021
Ty Johnson,NYJ,RB,24,16,3,0,0,0,61,238,2,55,34,372,2,2,1,0,0,830,1170,JohnTy02,2021
Mecole Hardman,KAN,WR,23,17,8,0,0,0,8,46,0,83,59,693,2,3,2,0,0,820,1409,HardMe00,2021
Mark Ingram,2TM,RB,32,14,10,0,0,0,160,554,2,35,27,162,0,1,1,0,0,820,1086,IngrMa01,2021
Zack Moss,BUF,RB,24,13,0,0,0,0,96,345,4,32,23,197,1,2,1,0,0,820,1052,MossZa00,2021
Tyrod Taylor,HOU,QB,32,6,6,966,5,5,19,151,3,0,0,0,0,3,0,0,0,820,817,TaylTy00,2021
Jarvis Landry,CLE,WR,29,12,12,0,0,0,6,40,2,87,52,570,2,3,2,0,0,810,1330,LandJa00,2021
Antonio Brown,TAM,WR,33,7,3,0,0,0,1,6,0,62,42,545,4,0,0,0,0,790,1211,BrowAn04,2021
Rex Burkhead,HOU,RB,31,16,5,0,0,0,122,427,3,32,25,186,0,1,0,0,0,790,1043,BurkRe00,2021
C.J. Uzomah,CIN,TE,28,16,16,0,0,0,0,0,0,63,49,493,5,0,0,0,0,790,1283,UzomC.00,2021
Darren Waller,LVR,TE,29,11,11,0,0,0,0,0,0,93,55,665,2,0,0,0,0,790,1335,WallDa01,2021
Cole Beasley,BUF,WR,32,16,8,0,0,0,0,0,0,112,82,693,1,1,0,1,0,770,1593,BeasCo00,2021
Tyler Conklin,MIN,TE,26,17,15,0,0,0,0,0,0,87,61,593,3,1,0,0,0,770,1383,ConkTy00,2021
Deonte Harty,NOR,WR,24,13,1,0,0,0,5,41,0,59,36,570,3,2,1,0,0,770,1131,HarrDe07,2021
Donovan Peoples-Jones,CLE,WR,22,14,9,0,0,0,0,0,0,58,34,597,3,2,1,0,0,760,1097,PeopDo00,2021
Braxton Berrios,NYJ,WR,26,16,1,0,0,0,7,40,2,65,46,431,2,1,1,0,0,750,1211,BerrBr00,2021
Bryan Edwards,LVR,WR,23,16,12,0,0,0,1,0,0,59,34,571,3,1,0,0,0,750,1091,EdwaBr01,2021
Kenyan Drake,LVR,RB,27,12,2,0,0,0,63,254,2,40,30,291,1,1,0,0,0,730,1025,DrakKe00,2021
Nyheim Hines,IND,RB,25,17,4,0,0,0,56,276,2,57,40,310,1,3,2,0,0,730,1126,HineNy00,2021
Quez Watkins,PHI,WR,23,17,12,0,0,0,1,3,0,62,43,647,1,0,0,1,0,730,1160,WatkQu00,2021
Jacoby Brissett,MIA,QB,29,11,5,1283,5,4,19,70,1,0,0,0,0,6,3,0,1,720,723,BrisJa00,2021
David Njoku,CLE,TE,25,16,11,0,0,0,1,1,0,53,36,475,4,0,0,0,0,720,1076,NjokDa00,2021
Corey Davis,NYJ,WR,26,9,9,0,0,0,0,0,0,59,34,492,4,2,1,0,0,710,1052,DaviCo03,2021
Gerald Everett,SEA,TE,27,15,12,0,0,0,3,20,0,63,48,478,4,2,2,0,0,700,1178,EverGe00,2021
Nick Westbrook-Ikhine,TEN,WR,24,16,7,0,0,0,0,0,0,57,38,476,4,1,1,0,0,700,1076,WestNi00,2021
Ronald Jones II,TAM,RB,24,16,3,0,0,0,101,428,4,13,10,64,0,2,2,0,0,690,792,JoneRo01,2021
Nelson Agholor,NWE,WR,28,15,13,0,0,0,3,11,0,64,37,473,3,0,0,0,0,660,1034,AghoNe00,2021
Randall Cobb,GNB,WR,31,12,3,0,0,0,1,1,0,39,28,375,5,1,1,0,0,660,936,CobbRa00,2021
Jalen Guyton,LAC,WR,24,16,2,0,0,0,7,34,0,48,31,448,3,1,0,0,0,660,972,GuytJa01,2021
Khalil Herbert,CHI,RB,23,17,2,0,0,0,103,433,2,16,14,96,0,1,0,0,0,650,789,HerbKh00,2021
Trey Lance,SFO,QB,21,6,2,603,5,2,38,168,1,0,0,0,0,0,0,1,0,650,649,LancTr00,2021
Justin Jackson,LAC,RB,25,14,2,0,0,0,68,364,2,25,22,178,0,1,1,0,0,640,862,JackJu01,2021
DeVante Parker,MIA,WR,28,10,8,0,0,0,0,0,0,73,40,515,2,0,0,0,0,640,1035,ParkDe01,2021
Laviska Shenault Jr.,JAX,WR,23,16,10,0,0,0,11,41,0,100,63,619,0,1,1,0,0,640,1270,ShenLa00,2021
DeAndre Carter,WAS,WR,28,17,6,0,0,0,10,89,0,44,24,296,3,3,0,0,0,630,865,CartDe02,2021
Freddie Swain,SEA,WR,23,17,8,0,0,0,5,32,0,40,25,343,4,1,0,0,0,620,865,SwaiFr00,2021
Jordan Howard,PHI,RB,27,7,0,0,0,0,86,406,3,5,2,19,0,0,0,0,0,610,625,HowaJo00,2021
Cole Kmet,CHI,TE,22,17,17,0,0,0,1,0,0,93,60,612,0,0,0,0,0,610,1212,KmetCo00,2021
Henry Ruggs III,LVR,WR,22,7,7,0,0,0,3,16,0,36,24,469,2,0,0,0,0,610,845,RuggHe00,2021
Marquez Valdes-Scantling,GNB,WR,27,11,7,0,0,0,0,0,0,55,26,430,3,0,0,0,0,610,870,ValdMa00,2021
Alex Collins,SEA,RB,27,11,6,0,0,0,108,411,2,10,9,87,0,1,1,0,0,600,688,CollAl00,2021
Josh Palmer,LAC,WR,22,17,5,0,0,0,1,6,0,49,33,353,4,0,0,0,0,600,929,PalmJo00,2021
Jamison Crowder,NYJ,WR,28,12,4,0,0,0,0,0,0,71,51,447,2,1,1,1,1,590,1097,CrowJa00,2021
Zay Jones,LVR,WR,26,17,9,0,0,0,2,3,0,70,47,546,1,1,1,0,0,590,1059,JoneZa00,2021
Olamide Zaccheaus,ATL,WR,24,17,8,0,0,0,1,2,0,53,31,406,3,0,0,0,0,590,898,ZaccOl01,2021
Rashod Bateman,BAL,WR,22,12,4,0,0,0,0,0,0,68,46,515,1,0,0,0,0,580,1035,BateRa00,2021
Jauan Jennings,SFO,WR,24,16,1,0,0,0,0,0,0,38,24,282,5,1,0,0,0,580,822,JennJa00,2021
Evan Engram,NYG,TE,27,15,12,0,0,0,1,-3,0,73,46,408,3,1,1,0,0,570,1025,EngrEv00,2021
Michael Gallup,DAL,WR,25,9,8,0,0,0,0,0,0,62,35,445,2,0,0,0,0,570,915,GallMi00,2021
Zach Pascal,IND,WR,27,16,13,0,0,0,2,21,0,69,38,384,3,1,1,0,0,570,945,PascZa00,2021
Mo Alie-Cox,IND,TE,28,17,7,0,0,0,0,0,0,45,24,316,4,1,0,0,0,560,796,AlieMo00,2021
DeSean Jackson,2TM,WR,35,16,4,0,0,0,1,4,0,34,20,454,2,1,1,0,0,560,758,JackDe00,2021
