name,team,position,age,games_played,games_started,passing_yards,passing_tds,interceptions,rushing_atts,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,fumbles,fumbles_lost,two_point_conversions,two_point_conversions_passing,fantasy_points_standard_10,fantasy_points_ppr_10,player_id,year
Jonathan Taylor,IND,RB,22,17,17,0,0,0,332,1811,18,51,40,360,2,4,2,0,0,3330,3731,TaylJo02,2021
Cooper Kupp,LAR,WR,28,17,17,0,0,0,4,18,0,191,145,1947,16,0,0,1,0,2950,4395,KuppCo00,2021
Deebo Samuel,SFO,WR,25,16,15,24,1,0,59,365,8,121,77,1405,6,4,2,0,0,2620,3390,SamuDe00,2021
Josh Allen,BUF,QB,25,17,17,4407,36,15,122,763,6,0,0,0,0,8,3,2,1,4030,4026,AlleJo02,2021
Austin Ekeler,LAC,RB,26,16,16,0,0,0,206,911,12,94,70,647,8,4,3,2,0,2740,3438,EkelAu00,2021
Justin Herbert,LAC,QB,23,17,17,5014,38,15,63,302,3,0,0,0,0,1,1,1,5,3810,3808,HerbJu00,2021
Tom Brady,TAM,QB,44,17,17,5316,43,12,28,81,2,0,0,0,0,4,3,0,0,3750,3747,BradTo00,2021
Ja'Marr Chase,CIN,WR,21,17,17,0,0,0,7,21,0,128,81,1455,13,2,1,0,0,2240,3046,ChasJa00,2021
Mark Andrews,BAL,TE,26,17,9,0,0,0,1,0,0,153,107,1361,9,1,0,2,0,1940,3011,AndrMa00,2021
Justin Jefferson,MIN,WR,22,17,17,35,0,0,6,14,0,167,108,1616,10,1,1,0,0,2220,3304,JeffJu00,2021
Joe Mixon,CIN,RB,25,16,16,0,0,0,292,1205,13,48,42,314,3,2,1,0,0,2460,2879,MixoJo00,2021
Davante Adams,GNB,WR,29,16,16,0,0,0,0,0,0,169,123,1553,11,0,0,0,0,2210,3443,AdamDa01,2021
Patrick Mahomes,KAN,QB,26,17,17,4839,37,13,66,381,2,0,0,0,0,9,4,1,1,3620,3617,MahoPa00,2021
Najee Harris,PIT,RB,23,17,17,0,0,0,307,1200,7,94,74,467,3,0,0,0,0,2270,3007,HarrNa00,2021
Travis Kelce,KAN,TE,32,16,16,0,0,0,2,3,1,134,92,1125,9,1,1,0,0,1710,2628,KelcTr00,2021
James Conner,ARI,RB,26,15,6,0,0,0,202,752,15,39,37,375,3,2,0,0,0,2210,2577,ConnJa00,2021
Mike Evans,TAM,WR,28,16,16,0,0,0,1,10,0,114,74,1035,14,0,0,0,0,1890,2625,EvanMi00,2021
Aaron Rodgers,GNB,QB,38,16,16,4115,37,4,33,101,3,1,1,-4,0,3,0,0,0,3320,3333,RodgAa00,2021
Tyreek Hill,KAN,WR,27,17,16,0,0,0,9,96,0,159,111,1239,9,2,1,0,0,1860,2965,HillTy00,2021
Matthew Stafford,LAR,QB,33,17,17,4886,41,17,32,43,0,0,0,0,0,5,2,0,2,3300,3297,StafMa00,2021
Stefon Diggs,BUF,WR,28,17,17,0,0,0,0,0,0,164,103,1225,10,1,0,0,0,1830,2855,DiggSt00,2021
Ezekiel Elliott,DAL,RB,26,17,17,4,0,0,237,1002,10,65,47,287,2,1,1,3,0,2050,2521,ElliEz00,2021
Dak Prescott,DAL,QB,28,16,16,4449,37,10,48,146,1,0,0,0,0,14,6,1,2,3210,3206,PresDa01,2021
Nick Chubb,CLE,RB,26,14,14,0,0,0,228,1259,8,25,20,174,1,2,1,0,0,1950,2153,ChubNi00,2021
Mike Williams,LAC,WR,27,16,14,0,0,0,0,0,0,129,76,1146,9,0,0,1,0,1710,2466,WillMi07,2021
D.K. Metcalf,SEA,WR,24,17,17,0,0,0,1,6,0,129,75,967,12,1,0,0,0,1690,2443,MetcDK00,2021
Tyler Lockett,SEA,WR,29,16,16,0,0,0,2,9,0,107,73,1175,8,0,0,1,0,1680,2414,LockTy00,2021
Joe Burrow,CIN,QB,25,16,16,4611,34,14,40,118,2,0,0,0,0,5,2,0,1,3140,3142,BurrJo01,2021
Damien Harris,NWE,RB,24,15,15,0,0,0,202,929,15,21,18,132,0,2,2,0,0,1920,2101,HarrDa06,2021
Diontae Johnson,PIT,WR,25,16,14,0,0,0,5,53,0,169,107,1161,8,2,2,1,0,1670,2744,JohnDi01,2021
Jalen Hurts,PHI,QB,23,15,15,3144,16,9,139,784,10,1,0,0,0,9,2,0,3,3120,3122,HurtJa00,2021
Alvin Kamara,NOR,RB,26,13,10,0,0,0,240,898,4,67,47,439,5,0,0,0,0,1880,2347,KamaAl00,2021
Antonio Gibson,WAS,RB,23,16,14,0,0,0,258,1037,7,52,42,294,3,6,4,1,0,1870,2291,GibsAn00,2021
Leonard Fournette,TAM,RB,26,14,13,0,0,0,180,812,8,84,69,454,2,1,0,0,0,1870,2556,FourLe00,2021
Dalton Schultz,DAL,TE,25,17,15,0,0,0,0,0,0,104,78,808,8,0,0,1,0,1310,2088,SchuDa00,2021
Cordarrelle Patterson,ATL,RB,30,16,13,0,0,0,153,618,6,69,52,548,5,2,0,0,0,1830,2346,PattCo00,2021
George Kittle,SFO,TE,28,14,14,0,0,0,3,20,0,94,71,910,6,2,1,0,0,1270,1980,KittGe00,2021
Hunter Renfrow,LVR,WR,26,17,9,0,0,0,3,3,0,128,103,1038,9,5,1,0,0,1560,2591,RenfHu00,2021
Kyler Murray,ARI,QB,24,14,14,3787,24,10,88,423,5,0,0,7,0,13,0,0,0,3000,3005,MurrKy00,2021
Kirk Cousins,MIN,QB,33,16,16,4221,33,7,29,115,1,0,0,0,0,12,2,0,0,3000,3003,CousKi00,2021
CeeDee Lamb,DAL,WR,22,16,13,0,0,0,9,76,0,120,79,1102,6,0,0,0,0,1540,2328,LambCe00,2021
Aaron Jones,GNB,RB,27,15,15,0,0,0,171,799,4,65,52,391,6,2,1,0,0,1770,2290,JoneAa00,2021
Derrick Henry,TEN,RB,27,8,8,5,1,0,219,937,10,20,18,154,0,1,0,1,0,1750,1933,HenrDe00,2021
Keenan Allen,LAC,WR,29,16,16,0,0,0,0,0,0,157,106,1138,6,1,0,0,1,1520,2578,AlleKe00,2021
Michael Pittman Jr.,IND,WR,24,17,17,0,0,0,5,44,0,129,88,1082,6,1,0,1,0,1510,2386,PittMi01,2021
Dalvin Cook,MIN,RB,26,13,13,0,0,0,249,1159,6,49,34,224,0,3,2,1,0,1720,2063,CookDa01,2021
Josh Jacobs,LVR,RB,23,15,14,0,0,0,217,872,9,64,54,348,0,2,2,0,0,1720,2260,JacoJo01,2021
Taysom Hill,NOR,TE,31,12,9,978,4,5,70,374,5,6,4,52,0,2,0,0,0,1180,1217,HillTa00,2021
Rob Gronkowski,TAM,TE,32,12,12,0,0,0,0,0,0,89,55,802,6,0,0,0,0,1160,1712,GronRo00,2021
Tee Higgins,CIN,WR,22,14,14,0,0,0,0,0,0,110,74,1091,6,1,1,1,0,1450,2191,HiggTe00,2021
D.J. Moore,CAR,WR,24,17,17,0,0,0,8,48,0,163,93,1157,4,1,1,1,0,1450,2375,MoorD.00,2021
Dawson Knox,BUF,TE,25,15,14,0,0,0,0,4,0,71,49,587,9,0,0,0,1,1150,1641,KnoxDa00,2021
Chris Godwin,TAM,WR,25,14,14,0,0,0,4,21,1,127,98,1103,5,2,2,0,0,1440,2424,GodwCh00,2021
Hunter Henry,NWE,TE,27,17,10,0,0,0,0,0,0,75,50,603,9,0,0,0,0,1140,1643,HenrHu00,2021
Melvin Gordon,DEN,RB,28,16,16,0,0,0,203,918,8,38,28,213,2,3,3,0,0,1670,1951,GordMe00,2021
Jaylen Waddle,MIA,WR,23,16,16,0,0,0,2,3,1,140,104,1015,6,2,1,0,0,1420,2458,WaddJa00,2021
Brandin Cooks,HOU,WR,28,16,16,0,0,0,2,21,0,134,90,1037,6,0,0,0,0,1420,2318,CookBr00,2021
Darnell Mooney,CHI,WR,24,17,14,0,0,0,6,32,1,140,81,1055,4,0,0,0,0,1390,2197,MoonDa00,2021
Kyle Pitts,ATL,TE,21,17,15,0,0,0,0,0,0,110,68,1026,1,0,0,0,0,1090,1766,PittKy00,2021
Dallas Goedert,PHI,TE,26,15,14,0,0,0,0,0,0,76,56,830,4,1,0,1,0,1090,1650,GoedDa00,2021
Javonte Williams,DEN,RB,21,17,1,0,0,0,203,903,4,53,43,316,3,2,1,0,0,1620,2049,WillJa10,2021
Amon-Ra St. Brown,DET,WR,22,17,9,0,0,0,7,61,1,119,90,912,5,0,0,2,0,1370,2273,StxxAm00,2021
Terry McLaurin,WAS,WR,26,17,17,0,0,0,1,12,0,130,77,1053,5,0,0,0,0,1370,2135,McLaTe00,2021
Zach Ertz,2TM,TE,31,17,14,0,0,0,1,4,0,112,74,763,5,0,0,0,0,1070,1807,ErtzZa00,2021
Marquise Brown,BAL,WR,24,16,16,0,0,0,1,5,0,146,91,1008,6,3,1,0,0,1350,2263,BrowMa04,2021
Amari Cooper,DAL,WR,27,15,14,0,0,0,0,0,0,104,68,865,8,1,0,0,0,1350,2025,CoopAm00,2021
Devin Singletary,BUF,RB,24,17,16,0,0,0,188,870,7,50,40,228,1,5,0,0,0,1580,1978,SingDe00,2021
Adam Thielen,MIN,WR,31,13,13,0,0,0,1,2,0,95,67,726,10,1,0,0,0,1330,1998,ThieAd00,2021
Christian Kirk,ARI,WR,25,17,11,33,0,0,1,11,0,103,77,982,5,0,0,0,0,1310,2076,KirkCh01,2021
