name,team,position,age,games_played,games_started,passing_yards,passing_tds,interceptions,rushing_atts,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,fumbles,fumbles_lost,two_point_conversions,two_point_conversions_passing,fantasy_points_standard_10,fantasy_points_ppr_10,player_id,year
Michael Wilson,ARI,WR,23,13,12,0,0,0,0,0,0,58,38,565,3,0,0,1,0,770,1145,WilsMi02,2023
Jahan Dotson,WAS,WR,23,17,16,0,0,0,0,0,0,83,49,518,4,0,0,0,0,760,1248,DotsJa00,2023
Rico Dowdle,DAL,RB,25,16,0,0,0,0,89,361,2,22,17,144,2,0,0,0,0,750,915,DowdRi01,2023
Jaleel McLaughlin,DEN,RB,23,17,3,0,0,0,76,410,1,36,31,160,2,0,0,0,0,750,1060,McLaJa00,2023
Khalil Shakir,BUF,WR,23,17,10,0,0,0,1,10,0,45,39,611,2,1,0,0,0,740,1131,ShakKh00,2023
Jonnu Smith,ATL,TE,28,17,6,0,0,0,1,0,0,70,50,582,3,1,1,0,0,740,1242,SmitJo01,2023
Tutu Atwell,LAR,WR,24,16,14,0,0,0,5,31,0,67,39,483,3,0,0,1,1,730,1124,AtweTu00,2023
Odell Beckham Jr.,BAL,WR,31,14,6,0,0,0,0,0,0,64,35,565,3,1,1,0,0,730,1075,BeckOd00,2023
Zach Charbonnet,SEA,RB,22,16,2,0,0,0,108,462,1,40,33,209,0,0,0,0,0,730,1061,CharZa00,2023
Elijah Moore,CLE,WR,23,17,12,0,0,0,9,11,0,104,59,640,2,2,2,0,0,730,1321,MoorEl00,2023
Anthony Richardson,IND,QB,21,4,4,577,3,1,25,136,4,0,0,0,0,3,1,0,2,730,727,RichAn03,2023
Wan'Dale Robinson,NYG,WR,22,15,8,0,0,0,9,87,1,78,60,525,1,0,0,0,0,730,1332,RobiWa01,2023
Christian Watson,GNB,WR,24,9,9,0,0,0,4,11,0,53,28,422,5,0,0,0,0,730,1013,WatsCh00,2023
K.J. Osborn,MIN,WR,26,16,12,0,0,0,0,0,0,75,48,540,3,1,0,0,0,720,1200,OsboKJ00,2023
Logan Thomas,WAS,TE,32,16,15,0,0,0,1,2,0,78,55,496,4,2,2,1,0,720,1268,ThomLo00,2023
Isaiah Likely,BAL,TE,23,17,8,0,0,0,0,0,0,40,30,411,5,0,0,0,0,710,1011,LikeIs00,2023
Samaje Perine,DEN,RB,28,17,1,0,0,0,53,238,1,56,50,455,0,3,2,0,0,710,1213,PeriSa00,2023
Cade Otton,TAM,TE,24,17,17,0,0,0,0,0,0,67,47,455,4,1,1,1,0,700,1165,OttoCa00,2023
Dameon Pierce,HOU,RB,23,14,7,0,0,0,145,416,2,17,13,101,0,0,0,0,0,700,827,PierDa01,2023
Noah Brown,HOU,WR,27,10,7,0,0,0,1,-1,0,55,33,567,2,0,0,0,0,690,1016,BrowNo00,2023
Josh Palmer,LAC,WR,24,10,6,0,0,0,1,6,0,61,38,581,2,1,1,0,0,690,1067,PalmJo00,2023
Bailey Zappe,NWE,QB,24,10,6,1272,6,9,17,83,1,0,0,0,0,2,1,0,0,690,692,ZappBa00,2023
Roschon Johnson,CHI,RB,22,15,0,0,0,0,81,352,2,40,34,209,0,1,0,0,0,680,1021,JohnRo07,2023
Easton Stick,LAC,QB,28,5,4,1129,3,1,27,144,1,0,0,0,0,5,4,0,0,680,676,SticEa00,2023
Kenneth Gainwell,PHI,RB,24,16,2,17,0,0,84,364,2,37,30,183,0,3,1,1,0,670,974,GainKe00,2023
Nick Mullens,MIN,QB,28,5,3,1306,7,8,10,25,0,0,0,0,0,2,0,0,0,670,667,MullNi00,2023
Taylor Heinicke,ATL,QB,30,5,4,890,5,4,15,124,1,0,0,0,0,1,0,0,0,660,660,HeinTa00,2023
Latavius Murray,BUF,RB,33,16,4,0,0,0,79,300,4,22,17,119,0,1,0,0,0,660,829,MurrLa00,2023
Rondale Moore,ARI,WR,23,17,8,0,0,0,28,178,1,62,40,352,1,1,0,0,0,650,1050,MoorRo02,2023
Jimmy Garoppolo,LVR,QB,32,7,6,1205,7,9,20,39,0,0,0,0,0,1,0,0,1,640,641,GaroJi00,2023
Kendrick Bourne,NWE,WR,28,8,5,0,0,0,1,4,0,55,37,406,4,1,1,0,0,630,1000,BourKe00,2023
Alec Pierce,IND,WR,23,17,16,0,0,0,0,0,0,65,32,514,2,0,0,0,0,630,954,PierAl00,2023
Nelson Agholor,BAL,WR,30,17,3,0,0,0,0,0,0,45,35,381,4,1,0,0,0,620,971,AghoNe00,2023
Tyler Conklin,NYJ,TE,28,17,12,0,0,0,1,0,0,87,61,621,0,0,0,0,0,620,1231,ConkTy00,2023
Tyler Higbee,LAR,TE,30,15,15,0,0,0,0,0,0,70,47,495,2,0,0,0,0,620,1085,HigbTy00,2023
Kalif Raymond,DET,WR,29,17,3,0,0,0,7,75,0,44,35,489,1,1,0,0,0,620,974,RaymKa00,2023
Justin Watson,KAN,WR,28,16,8,0,0,0,0,0,0,53,27,460,3,1,1,0,0,620,890,WatsJu01,2023
Juwan Johnson,NOR,TE,27,13,11,0,0,0,0,0,0,59,37,368,4,0,0,0,0,610,978,JohnJu02,2023
Keaton Mitchell,BAL,RB,21,8,2,0,0,0,47,396,2,11,9,93,0,0,0,0,0,610,699,MitcKe01,2023
Demarcus Robinson,LAR,WR,29,16,4,0,0,0,1,23,0,39,26,371,4,2,1,0,0,610,874,RobiDe01,2023
Miles Sanders,CAR,RB,26,16,5,0,0,0,129,432,1,41,27,154,0,2,2,0,0,610,876,SandMi01,2023
Darren Waller,NYG,TE,31,12,11,0,0,0,0,0,0,74,52,552,1,0,0,0,0,610,1132,WallDa01,2023
Gerald Everett,LAC,TE,29,15,12,0,0,0,3,10,0,70,51,411,3,3,0,0,0,600,1111,EverGe00,2023
Jerick McKinnon,KAN,RB,31,12,0,4,1,0,21,60,1,32,25,192,4,0,0,0,0,590,844,McKiJe00,2023
Chigoziem Okonkwo,TEN,TE,24,17,11,0,0,0,2,6,0,77,54,528,1,0,0,0,0,590,1134,OkonCh00,2023
Zamir White,LVR,RB,24,17,4,0,0,0,104,451,1,19,15,98,0,1,1,0,0,590,739,WhitZa01,2023
Demario Douglas,NWE,WR,23,14,7,0,0,0,8,41,0,79,49,561,0,3,1,0,0,580,1072,DougDe00,2023
Daniel Jones,NYG,QB,26,6,6,909,2,6,40,206,1,0,0,0,0,4,1,0,0,570,570,JoneDa05,2023
Trey Palmer,TAM,WR,22,17,8,0,0,0,3,22,0,68,39,385,3,3,1,0,0,570,957,PalmTr00,2023
Nick Westbrook-Ikhine,TEN,WR,26,14,9,0,0,0,0,0,0,45,28,370,3,0,0,1,0,570,850,WestNi00,2023
Quentin Johnston,LAC,WR,22,17,10,0,0,0,3,9,0,67,38,431,2,0,0,0,0,560,940,JohnQu02,2023
Jameson Williams,DET,WR,22,12,10,0,0,0,3,29,1,42,24,354,2,1,0,0,0,560,803,WillJa11,2023
Michael Gallup,DAL,WR,27,17,13,0,0,0,0,0,0,57,34,418,2,0,0,0,0,540,878,GallMi00,2023
Brandon Johnson,DEN,WR,25,13,2,0,0,0,0,0,0,30,19,284,4,0,0,1,0,540,734,JohnBr23,2023
Joshua Kelley,LAC,RB,26,17,3,0,0,0,107,405,2,12,8,32,0,1,1,0,0,540,617,KellJo01,2023
Tyson Bagent,CHI,QB,23,5,4,859,3,6,23,109,2,0,0,0,0,3,2,0,0,530,533,BageTy00,2023
Clyde Edwards-Helaire,KAN,RB,24,15,3,0,0,0,70,223,1,22,17,188,1,0,0,0,0,530,701,EdwaCl00,2023
