name,team,position,age,games_played,games_started,passing_yards,passing_tds,interceptions,rushing_atts,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,fumbles,fumbles_lost,two_point_conversions,two_point_conversions_passing,fantasy_points_standard_10,fantasy_points_ppr_10,player_id,year
Christian McCaffrey,CAR,RB,23,16,16,0,0,0,287,1387,15,142,116,1005,4,1,0,1,0,3550,4712,McCaCh01,2019
Lamar Jackson,BAL,QB,22,15,15,3127,36,6,176,1206,7,0,0,0,0,9,2,0,0,4160,4157,JackLa00,2019
Derrick Henry,TEN,RB,25,15,15,0,0,0,303,1540,16,24,18,206,2,5,3,0,0,2770,2946,HenrDe00,2019
Aaron Jones,GNB,RB,25,16,16,0,0,0,236,1084,16,68,49,474,3,3,2,0,0,2660,3148,JoneAa00,2019
Ezekiel Elliott,DAL,RB,24,16,16,0,0,0,301,1357,12,71,54,420,2,3,2,0,0,2580,3117,ElliEz00,2019
Dalvin Cook,MIN,RB,24,14,14,0,0,0,250,1135,13,63,53,519,0,4,2,0,0,2390,2924,CookDa01,2019
Michael Thomas,NOR,WR,26,16,15,0,0,0,1,-9,0,185,149,1725,9,1,0,0,0,2260,3746,ThomMi05,2019
Travis Kelce,KAN,TE,30,16,16,0,0,0,1,4,1,136,97,1229,5,1,1,0,0,1570,2543,KelcTr00,2019
Nick Chubb,CLE,RB,24,16,16,0,0,0,298,1494,8,49,36,278,0,3,3,0,0,2190,2552,ChubNi00,2019
Mark Ingram,BAL,RB,30,15,15,0,0,0,202,1018,10,29,26,247,5,2,2,2,0,2170,2425,IngrMa01,2019
Austin Ekeler,LAC,RB,24,16,8,0,0,0,132,557,3,108,92,993,8,3,2,0,0,2170,3090,EkelAu00,2019
Dak Prescott,DAL,QB,26,16,16,4902,30,11,52,277,3,0,0,0,0,6,2,0,1,3380,3378,PresDa01,2019
Mark Andrews,BAL,TE,24,15,4,0,0,0,0,0,0,98,64,852,10,2,1,0,0,1430,2072,AndrMa00,2019
Russell Wilson,SEA,QB,31,16,16,4110,31,5,75,342,3,0,0,0,0,8,2,0,1,3290,3286,WilsRu00,2019
Chris Godwin,TAM,WR,23,14,14,0,0,0,1,8,0,121,86,1333,9,0,0,1,0,1900,2761,GodwCh00,2019
George Kittle,SFO,TE,26,14,14,0,0,0,5,22,0,107,85,1053,5,1,0,0,0,1380,2225,KittGe00,2019
Deshaun Watson,HOU,QB,24,15,15,3852,26,12,82,413,7,1,1,6,1,10,3,0,1,3200,3210,WatsDe00,2019
Chris Carson,SEA,RB,25,15,15,0,0,0,278,1230,7,47,37,266,2,7,4,0,0,1960,2326,CarsCh00,2019
Kenny Golladay,DET,WR,26,16,16,0,0,0,0,0,0,116,65,1190,11,1,1,0,0,1830,2480,GollKe00,2019
Darren Waller,OAK,TE,27,16,16,0,0,0,2,5,0,117,90,1145,3,1,1,0,0,1310,2210,WallDa01,2019
Saquon Barkley,NYG,RB,22,13,13,0,0,0,217,1003,6,73,52,438,2,1,0,0,0,1920,2441,BarkSa00,2019
Zach Ertz,PHI,TE,29,15,15,0,0,0,0,0,0,135,88,916,6,1,1,1,0,1280,2156,ErtzZa00,2019
Joe Mixon,CIN,RB,23,16,15,0,0,0,278,1137,5,45,35,287,3,0,0,0,0,1900,2254,MixoJo00,2019
Todd Gurley,LAR,RB,25,15,15,0,0,0,223,857,12,49,31,207,2,3,2,1,0,1880,2194,GurlTo01,2019
Jared Cook,NOR,TE,32,14,7,0,0,0,0,0,0,65,43,705,9,0,0,0,0,1250,1675,CookJa02,2019
Cooper Kupp,LAR,WR,26,16,14,0,0,0,2,4,0,134,94,1161,10,3,0,0,0,1770,2705,KuppCo00,2019
